interaction_id,customer_id,policy_id,channel_id,agent_id,interaction_datetime,interaction_year,interaction_type,interaction_reason,direction,duration_seconds,sentiment_score,resolved_flag
INT_00000000029,CUST_00000004,POL_000000005,CH_CALL_CENTER,AGT_00143,2025-02-01T18:50:00+00:00,2025,CALL,RENEWAL,OUTBOUND,1663,0.404,false
INT_00000000030,CUST_00000004,POL_000000004,CH_CALL_CENTER,AGT_00145,2022-08-25T16:29:00+00:00,2022,BRANCH_MEETING,BILLING,INBOUND,758,0.764,true
INT_00000000031,CUST_00000004,POL_000000004,CH_MOBILE,,2026-04-19T14:05:00+00:00,2026,WEB_VISIT,BILLING,INBOUND,48,0.057,true
INT_00000000032,CUST_00000004,POL_000000004,CH_EMAIL,,2022-06-06T19:19:00+00:00,2022,CHAT,BILLING,INBOUND,1682,-0.238,true
INT_00000000033,CUST_00000004,POL_000000004,CH_CALL_CENTER,AGT_00143,2026-03-31T10:32:00+00:00,2026,WEB_VISIT,QUOTE,INBOUND,1494,-0.105,true
INT_00000000034,CUST_00000004,POL_000000004,CH_MOBILE,,2021-06-03T12:08:00+00:00,2021,MOBILE_SESSION,QUOTE,INBOUND,989,0.457,false
INT_00000000035,CUST_00000005,POL_000000006,CH_MOBILE,,2024-11-30T12:29:00+00:00,2024,CALL,COMPLAINT,INBOUND,1601,-0.858,true
INT_00000000036,CUST_00000005,POL_000000006,CH_MOBILE,,2024-06-16T16:02:00+00:00,2024,SMS,GENERAL_SERVICE,INBOUND,95,-0.486,true
INT_00000000037,CUST_00000005,POL_000000006,CH_CALL_CENTER,,2024-05-08T11:39:00+00:00,2024,WEB_VISIT,BILLING,INBOUND,807,-0.244,true
INT_00000000038,CUST_00000005,POL_000000006,CH_WEB,,2026-03-05T12:01:00+00:00,2026,WEB_VISIT,QUOTE,INBOUND,1592,-0.408,false
INT_00000000039,CUST_00000005,POL_000000006,CH_WEB,,2024-10-07T17:03:00+00:00,2024,CHAT,RETENTION,OUTBOUND,1743,0.21,true
INT_00000000040,CUST_00000005,POL_000000006,CH_SMS,,2025-06-02T11:54:00+00:00,2025,SMS,BILLING,INBOUND,458,0.634,true
INT_00000000041,CUST_00000005,POL_000000006,CH_EMAIL,,2024-05-23T19:01:00+00:00,2024,SMS,GENERAL_SERVICE,INBOUND,1659,-0.299,false
INT_00000000042,CUST_00000006,POL_000000008,CH_MOBILE,,2024-03-08T17:05:00+00:00,2024,CALL,GENERAL_SERVICE,INBOUND,1671,-0.054,true
INT_00000000043,CUST_00000006,POL_000000007,CH_CALL_CENTER,AGT_00003,2023-04-12T11:20:00+00:00,2023,EMAIL,BILLING,INBOUND,422,-0.368,true
INT_00000000044,CUST_00000006,POL_000000007,CH_WEB,,2023-01-03T14:26:00+00:00,2023,BRANCH_MEETING,BILLING,INBOUND,1444,0.497,true
INT_00000000045,CUST_00000006,POL_000000009,CH_BRANCH,AGT_00004,2025-06-18T20:56:00+00:00,2025,WEB_VISIT,CLAIM,INBOUND,920,0.561,true
INT_00000000046,CUST_00000006,POL_000000009,CH_WEB,,2021-10-26T16:14:00+00:00,2021,WEB_VISIT,RENEWAL,OUTBOUND,1604,-0.292,false
INT_00000000047,CUST_00000006,POL_000000008,CH_MOBILE,,2021-02-08T18:58:00+00:00,2021,MOBILE_SESSION,QUOTE,INBOUND,1443,0.394,true
INT_00000000048,CUST_00000006,POL_000000009,CH_MOBILE,,2024-02-01T15:18:00+00:00,2024,BRANCH_MEETING,QUOTE,INBOUND,1779,-0.246,true
INT_00000000049,CUST_00000006,POL_000000009,CH_WEB,,2024-03-17T19:47:00+00:00,2024,CALL,GENERAL_SERVICE,INBOUND,517,-0.023,true
INT_00000000050,CUST_00000006,POL_000000007,CH_EMAIL,,2026-01-11T13:13:00+00:00,2026,CHAT,QUOTE,INBOUND,370,0.52,true
INT_00000000051,CUST_00000006,POL_000000008,CH_MOBILE,,2022-11-09T13:18:00+00:00,2022,CALL,QUOTE,INBOUND,167,-0.191,true
INT_00000000052,CUST_00000006,POL_000000009,CH_MOBILE,,2020-11-06T14:27:00+00:00,2020,WEB_VISIT,CLAIM,INBOUND,509,0.038,true
INT_00000000053,CUST_00000006,POL_000000007,CH_MOBILE,,2025-06-17T13:39:00+00:00,2025,MOBILE_SESSION,RENEWAL,INBOUND,673,0.199,true
INT_00000000054,CUST_00000006,POL_000000009,CH_WEB,,2023-11-08T19:26:00+00:00,2023,EMAIL,BILLING,INBOUND,834,0.437,true
INT_00000000055,CUST_00000006,POL_000000008,CH_WEB,,2022-04-26T17:36:00+00:00,2022,MOBILE_SESSION,COMPLAINT,INBOUND,1533,-0.345,false
INT_00000000056,CUST_00000006,POL_000000008,CH_EMAIL,,2021-07-14T15:18:00+00:00,2021,SMS,RENEWAL,OUTBOUND,1384,0.023,false
INT_00000000057,CUST_00000007,POL_000000010,CH_MOBILE,,2026-06-24T08:24:00+00:00,2026,WEB_VISIT,QUOTE,INBOUND,1510,0.415,true
INT_00000000058,CUST_00000007,POL_000000010,CH_MOBILE,,2026-03-20T12:38:00+00:00,2026,BRANCH_MEETING,GENERAL_SERVICE,INBOUND,392,0.432,true
INT_00000000059,CUST_00000007,POL_000000010,CH_EMAIL,,2025-04-15T16:41:00+00:00,2025,BRANCH_MEETING,QUOTE,INBOUND,1267,-0.741,true
INT_00000000060,CUST_00000007,POL_000000010,CH_WEB,,2025-04-07T15:59:00+00:00,2025,MOBILE_SESSION,RETENTION,INBOUND,881,0.368,true
INT_00000000061,CUST_00000007,POL_000000010,CH_SMS,,2025-03-17T19:52:00+00:00,2025,WEB_VISIT,QUOTE,INBOUND,1748,1,true
INT_00000000062,CUST_00000007,POL_000000010,CH_EMAIL,,2026-06-19T18:39:00+00:00,2026,EMAIL,GENERAL_SERVICE,INBOUND,612,-0.14,true
INT_00000000063,CUST_00000007,POL_000000010,CH_CALL_CENTER,AGT_00038,2025-06-25T12:43:00+00:00,2025,CHAT,RENEWAL,OUTBOUND,267,0.655,true
INT_00000000064,CUST_00000008,POL_000000011,CH_WEB,,2024-10-26T13:23:00+00:00,2024,MOBILE_SESSION,COMPLAINT,INBOUND,1013,0.473,true
INT_00000000065,CUST_00000008,POL_000000011,CH_BRANCH,AGT_00067,2026-03-10T20:46:00+00:00,2026,MOBILE_SESSION,QUOTE,INBOUND,1119,0.052,true
INT_00000000066,CUST_00000008,POL_000000011,CH_MOBILE,,2026-03-29T08:52:00+00:00,2026,WEB_VISIT,BILLING,INBOUND,297,0.455,true
INT_00000000067,CUST_00000008,POL_000000011,CH_MOBILE,,2026-06-30T19:18:00+00:00,2026,WEB_VISIT,GENERAL_SERVICE,INBOUND,1363,0.236,true
INT_00000000068,CUST_00000008,POL_000000011,CH_CALL_CENTER,AGT_00067,2025-08-16T20:29:00+00:00,2025,CALL,RENEWAL,INBOUND,1414,0.336,false
INT_00000000069,CUST_00000008,POL_000000011,CH_MOBILE,,2025-02-20T11:33:00+00:00,2025,CALL,RENEWAL,INBOUND,378,-0.8,true
INT_00000000070,CUST_00000008,POL_000000011,CH_EMAIL,,2025-01-03T10:40:00+00:00,2025,CALL,BILLING,INBOUND,340,0.351,true
INT_00000000071,CUST_00000008,POL_000000011,CH_MOBILE,,2026-06-09T20:57:00+00:00,2026,MOBILE_SESSION,QUOTE,INBOUND,1319,0.4,true
INT_00000000072,CUST_00000008,POL_000000011,CH_EMAIL,,2025-04-26T12:55:00+00:00,2025,EMAIL,GENERAL_SERVICE,INBOUND,1133,0.437,true
INT_00000000073,CUST_00000008,POL_000000011,CH_WEB,,2025-02-03T20:49:00+00:00,2025,CALL,RENEWAL,OUTBOUND,1138,-0.138,true
INT_00000000074,CUST_00000009,POL_000000012,CH_BRANCH,AGT_00129,2025-10-14T14:35:00+00:00,2025,CALL,COMPLAINT,INBOUND,1544,1,true
INT_00000000075,CUST_00000009,POL_000000012,CH_CALL_CENTER,AGT_00131,2022-02-04T15:29:00+00:00,2022,SMS,RETENTION,OUTBOUND,601,-0.297,false
INT_00000000076,CUST_00000009,POL_000000012,CH_WEB,,2024-09-09T17:59:00+00:00,2024,EMAIL,BILLING,INBOUND,445,-0.645,false
INT_00000000077,CUST_00000009,POL_000000012,CH_WEB,,2025-11-20T17:56:00+00:00,2025,EMAIL,BILLING,INBOUND,1717,-0.192,true
INT_00000000078,CUST_00000009,POL_000000012,CH_CALL_CENTER,AGT_00129,2024-11-17T09:33:00+00:00,2024,EMAIL,GENERAL_SERVICE,INBOUND,247,-0.095,true
INT_00000000079,CUST_00000009,POL_000000012,CH_WEB,,2025-07-31T13:57:00+00:00,2025,CALL,COMPLAINT,INBOUND,437,-0.679,true
INT_00000000080,CUST_00000010,POL_000000013,CH_CALL_CENTER,AGT_00038,2026-03-24T11:59:00+00:00,2026,BRANCH_MEETING,QUOTE,INBOUND,205,0.451,true
INT_00000000081,CUST_00000010,POL_000000013,CH_CALL_CENTER,AGT_00040,2026-01-12T19:43:00+00:00,2026,WEB_VISIT,RENEWAL,INBOUND,811,0.534,false
INT_00000000082,CUST_00000010,POL_000000013,CH_CALL_CENTER,AGT_00040,2026-04-30T15:32:00+00:00,2026,WEB_VISIT,CLAIM,INBOUND,755,0.429,true
INT_00000000083,CUST_00000010,POL_000000013,CH_SMS,,2026-02-20T14:14:00+00:00,2026,CALL,QUOTE,INBOUND,1790,-0.176,true
INT_00000000084,CUST_00000010,POL_000000013,CH_MOBILE,,2026-06-19T15:36:00+00:00,2026,MOBILE_SESSION,CLAIM,INBOUND,262,-0.073,true
INT_00000000085,CUST_00000010,POL_000000013,CH_CALL_CENTER,,2026-05-07T15:45:00+00:00,2026,WEB_VISIT,CLAIM,INBOUND,1626,0.667,true
INT_00000000086,CUST_00000011,POL_000000014,CH_SMS,,2026-02-07T15:44:00+00:00,2026,CALL,CLAIM,INBOUND,205,0.508,true
INT_00000000087,CUST_00000011,POL_000000014,CH_EMAIL,,2026-01-21T14:39:00+00:00,2026,MOBILE_SESSION,QUOTE,INBOUND,1449,0.245,true
INT_00000000088,CUST_00000011,POL_000000014,CH_WEB,,2022-05-22T19:08:00+00:00,2022,MOBILE_SESSION,RENEWAL,INBOUND,1137,-0.161,true
INT_00000000089,CUST_00000011,POL_000000014,CH_CALL_CENTER,AGT_00040,2023-07-23T11:13:00+00:00,2023,EMAIL,BILLING,INBOUND,686,-0.228,true
INT_00000000090,CUST_00000011,POL_000000014,CH_WEB,,2023-11-14T17:23:00+00:00,2023,CALL,BILLING,INBOUND,1367,-0.595,true
INT_00000000091,CUST_00000011,POL_000000014,CH_WEB,,2020-12-21T18:26:00+00:00,2020,WEB_VISIT,GENERAL_SERVICE,INBOUND,271,0.085,true
INT_00000000092,CUST_00000011,POL_000000014,CH_BRANCH,AGT_00039,2022-11-29T09:18:00+00:00,2022,EMAIL,RENEWAL,INBOUND,1141,0.09,true
INT_00000000093,CUST_00000011,POL_000000014,CH_EMAIL,,2023-05-27T08:42:00+00:00,2023,CHAT,GENERAL_SERVICE,INBOUND,1080,0.209,true
INT_00000000094,CUST_00000011,POL_000000014,CH_MOBILE,,2022-03-01T09:52:00+00:00,2022,SMS,QUOTE,INBOUND,1581,0.613,true
INT_00000000095,CUST_00000012,POL_000000017,CH_WEB,,2025-03-27T20:41:00+00:00,2025,CALL,QUOTE,INBOUND,1252,0.354,false
INT_00000000096,CUST_00000012,POL_000000015,CH_MOBILE,,2024-11-23T12:50:00+00:00,2024,WEB_VISIT,BILLING,INBOUND,899,0.816,true
INT_00000000097,CUST_00000013,POL_000000018,CH_BRANCH,AGT_00046,2023-07-09T16:21:00+00:00,2023,SMS,BILLING,INBOUND,1212,0.302,true
INT_00000000098,CUST_00000013,POL_000000019,CH_EMAIL,,2021-06-08T17:59:00+00:00,2021,WEB_VISIT,QUOTE,INBOUND,1652,0.055,true
INT_00000000099,CUST_00000013,POL_000000018,CH_WEB,,2023-01-10T08:06:00+00:00,2023,CALL,CLAIM,INBOUND,377,-0.439,false
INT_00000000100,CUST_00000013,POL_000000019,CH_CALL_CENTER,AGT_00045,2026-03-10T14:11:00+00:00,2026,CHAT,RETENTION,OUTBOUND,377,0.475,true
INT_00000000101,CUST_00000013,POL_000000019,CH_MOBILE,,2021-12-05T12:02:00+00:00,2021,WEB_VISIT,CLAIM,INBOUND,1437,0.277,true
INT_00000000102,CUST_00000013,POL_000000018,CH_WEB,,2023-04-15T16:12:00+00:00,2023,WEB_VISIT,GENERAL_SERVICE,INBOUND,232,-0.489,true
INT_00000000103,CUST_00000013,POL_000000018,CH_MOBILE,,2025-02-15T15:52:00+00:00,2025,CHAT,RENEWAL,INBOUND,1226,-0.023,true
INT_00000000104,CUST_00000013,POL_000000019,CH_CALL_CENTER,AGT_00045,2023-08-06T15:04:00+00:00,2023,WEB_VISIT,BILLING,INBOUND,874,0.116,true
INT_00000000105,CUST_00000013,POL_000000018,CH_WEB,,2021-08-15T12:31:00+00:00,2021,BRANCH_MEETING,QUOTE,INBOUND,603,0.497,true
INT_00000000106,CUST_00000013,POL_000000018,CH_EMAIL,,2024-09-30T12:21:00+00:00,2024,CALL,CLAIM,INBOUND,313,0.13,true
INT_00000000107,CUST_00000013,POL_000000019,CH_MOBILE,,2021-10-07T12:34:00+00:00,2021,BRANCH_MEETING,GENERAL_SERVICE,INBOUND,323,0.045,true
INT_00000000108,CUST_00000013,POL_000000019,CH_SMS,,2020-12-26T20:35:00+00:00,2020,MOBILE_SESSION,COMPLAINT,INBOUND,420,-0.812,true
INT_00000000109,CUST_00000013,POL_000000019,CH_WEB,,2020-06-19T19:13:00+00:00,2020,CALL,CLAIM,INBOUND,162,0.615,true
INT_00000000110,CUST_00000013,POL_000000019,CH_WEB,,2025-01-28T14:20:00+00:00,2025,CALL,GENERAL_SERVICE,INBOUND,69,-0.085,true
INT_00000000111,CUST_00000014,POL_000000020,CH_CALL_CENTER,AGT_00031,2025-08-11T18:12:00+00:00,2025,WEB_VISIT,QUOTE,INBOUND,611,-0.49,true
INT_00000000112,CUST_00000014,POL_000000020,CH_CALL_CENTER,AGT_00033,2026-02-11T17:39:00+00:00,2026,CALL,RENEWAL,OUTBOUND,1084,0.734,true
INT_00000000113,CUST_00000014,POL_000000020,CH_EMAIL,,2026-06-25T17:09:00+00:00,2026,CALL,RENEWAL,INBOUND,1503,0.281,true
INT_00000000114,CUST_00000014,POL_000000020,CH_SMS,,2025-08-12T16:41:00+00:00,2025,BRANCH_MEETING,QUOTE,INBOUND,704,0.857,true
INT_00000000115,CUST_00000014,POL_000000020,CH_MOBILE,,2025-08-24T10:52:00+00:00,2025,WEB_VISIT,RENEWAL,OUTBOUND,308,0.042,true
INT_00000000116,CUST_00000014,POL_000000020,CH_EMAIL,,2026-01-22T11:27:00+00:00,2026,CALL,GENERAL_SERVICE,INBOUND,946,-0.049,true
INT_00000000117,CUST_00000014,POL_000000020,CH_CALL_CENTER,AGT_00032,2026-01-26T08:30:00+00:00,2026,MOBILE_SESSION,GENERAL_SERVICE,INBOUND,1342,0.709,true
INT_00000000118,CUST_00000014,POL_000000020,CH_MOBILE,,2026-01-18T20:33:00+00:00,2026,MOBILE_SESSION,BILLING,INBOUND,843,-0.36,false
INT_00000000119,CUST_00000014,POL_000000020,CH_BRANCH,AGT_00033,2026-03-01T18:58:00+00:00,2026,MOBILE_SESSION,CLAIM,INBOUND,1115,0.315,true
INT_00000000120,CUST_00000014,POL_000000020,CH_EMAIL,,2025-11-28T17:43:00+00:00,2025,MOBILE_SESSION,RENEWAL,INBOUND,76,0.648,true
INT_00000000121,CUST_00000014,POL_000000020,CH_WEB,,2025-08-13T08:50:00+00:00,2025,CHAT,QUOTE,INBOUND,59,0.156,true
INT_00000000122,CUST_00000015,POL_000000021,CH_MOBILE,,2025-11-12T11:00:00+00:00,2025,CALL,QUOTE,INBOUND,1762,-0.975,true
INT_00000000123,CUST_00000015,POL_000000021,CH_MOBILE,,2025-05-16T11:56:00+00:00,2025,SMS,GENERAL_SERVICE,INBOUND,1566,0.531,true
INT_00000000124,CUST_00000015,POL_000000021,CH_WEB,,2024-12-08T11:38:00+00:00,2024,EMAIL,BILLING,INBOUND,1260,-0.069,true
INT_00000000125,CUST_00000015,POL_000000021,CH_MOBILE,,2024-11-23T15:36:00+00:00,2024,EMAIL,RETENTION,OUTBOUND,1569,-0.356,true
INT_00000000126,CUST_00000015,POL_000000021,CH_CALL_CENTER,AGT_00143,2024-11-12T09:27:00+00:00,2024,WEB_VISIT,RETENTION,INBOUND,1504,0.476,true
INT_00000000127,CUST_00000015,POL_000000021,CH_EMAIL,,2024-11-24T15:13:00+00:00,2024,WEB_VISIT,RENEWAL,OUTBOUND,1419,-0.047,true
INT_00000000128,CUST_00000015,POL_000000021,CH_CALL_CENTER,AGT_00143,2025-10-27T14:51:00+00:00,2025,SMS,RENEWAL,INBOUND,1236,-0.361,true
INT_00000000129,CUST_00000015,POL_000000021,CH_WEB,,2025-05-15T10:32:00+00:00,2025,WEB_VISIT,GENERAL_SERVICE,INBOUND,649,0.571,true
INT_00000000130,CUST_00000015,POL_000000021,CH_BRANCH,AGT_00145,2026-04-17T10:34:00+00:00,2026,CHAT,RETENTION,OUTBOUND,827,0.874,true
INT_00000000131,CUST_00000015,POL_000000021,CH_MOBILE,,2026-05-26T11:20:00+00:00,2026,WEB_VISIT,BILLING,INBOUND,725,1,true
INT_00000000132,CUST_00000015,POL_000000021,CH_CALL_CENTER,AGT_00144,2026-04-20T09:53:00+00:00,2026,CHAT,QUOTE,INBOUND,741,0.691,true
INT_00000000133,CUST_00000016,POL_000000022,CH_MOBILE,,2023-01-31T16:30:00+00:00,2023,MOBILE_SESSION,GENERAL_SERVICE,INBOUND,1205,0.89,true
INT_00000000134,CUST_00000016,POL_000000022,CH_BRANCH,AGT_00003,2025-10-25T14:52:00+00:00,2025,WEB_VISIT,BILLING,INBOUND,206,-0.268,false
INT_00000000135,CUST_00000016,POL_000000022,CH_CALL_CENTER,AGT_00004,2022-03-26T16:59:00+00:00,2022,EMAIL,COMPLAINT,INBOUND,161,-0.615,true
INT_00000000136,CUST_00000016,POL_000000022,CH_MOBILE,,2021-11-18T11:51:00+00:00,2021,MOBILE_SESSION,RENEWAL,OUTBOUND,656,0.021,true
INT_00000000137,CUST_00000016,POL_000000022,CH_MOBILE,,2024-09-19T17:39:00+00:00,2024,BRANCH_MEETING,QUOTE,INBOUND,570,-0.147,true
INT_00000000138,CUST_00000016,POL_000000022,CH_MOBILE,,2022-07-15T19:15:00+00:00,2022,WEB_VISIT,CLAIM,INBOUND,384,0.001,true
INT_00000000139,CUST_00000016,POL_000000022,CH_MOBILE,,2022-06-18T14:36:00+00:00,2022,CALL,QUOTE,INBOUND,1273,1,true
INT_00000000140,CUST_00000016,POL_000000022,CH_BRANCH,AGT_00004,2023-10-16T09:34:00+00:00,2023,CHAT,RETENTION,OUTBOUND,308,-0.038,true
INT_00000000141,CUST_00000016,POL_000000022,CH_EMAIL,,2021-12-10T14:14:00+00:00,2021,CALL,GENERAL_SERVICE,INBOUND,1610,0.946,true
INT_00000000142,CUST_00000016,POL_000000022,CH_WEB,,2021-08-24T14:21:00+00:00,2021,WEB_VISIT,BILLING,INBOUND,402,0.45,true
INT_00000000143,CUST_00000016,POL_000000022,CH_EMAIL,,2021-07-23T08:22:00+00:00,2021,EMAIL,CLAIM,INBOUND,396,0.814,true
INT_00000000144,CUST_00000016,POL_000000022,CH_CALL_CENTER,AGT_00003,2025-01-18T16:33:00+00:00,2025,WEB_VISIT,BILLING,INBOUND,1459,0.245,true
INT_00000000145,CUST_00000016,POL_000000022,CH_WEB,,2021-06-24T13:16:00+00:00,2021,CHAT,RETENTION,OUTBOUND,1598,-0.15,false
INT_00000000146,CUST_00000016,POL_000000022,CH_WEB,,2025-10-02T17:15:00+00:00,2025,CALL,GENERAL_SERVICE,INBOUND,173,0.069,false
INT_00000000147,CUST_00000016,POL_000000022,CH_CALL_CENTER,AGT_00003,2022-08-16T20:38:00+00:00,2022,BRANCH_MEETING,COMPLAINT,INBOUND,195,0.445,false
INT_00000000148,CUST_00000017,POL_000000023,CH_WEB,,2025-09-12T09:25:00+00:00,2025,MOBILE_SESSION,RETENTION,OUTBOUND,1060,0.49,false
INT_00000000149,CUST_00000017,POL_000000023,CH_MOBILE,,2020-11-03T20:22:00+00:00,2020,CHAT,GENERAL_SERVICE,INBOUND,433,0.038,true
INT_00000000150,CUST_00000017,POL_000000023,CH_CALL_CENTER,AGT_00096,2023-12-14T15:06:00+00:00,2023,EMAIL,RENEWAL,OUTBOUND,115,-0.113,true
INT_00000000151,CUST_00000017,POL_000000023,CH_SMS,,2024-05-26T09:19:00+00:00,2024,SMS,GENERAL_SERVICE,INBOUND,394,-0.02,true
INT_00000000152,CUST_00000017,POL_000000023,CH_EMAIL,,2022-05-16T13:18:00+00:00,2022,CHAT,GENERAL_SERVICE,INBOUND,1704,0.964,true
INT_00000000153,CUST_00000017,POL_000000023,CH_MOBILE,,2022-07-18T18:24:00+00:00,2022,SMS,COMPLAINT,INBOUND,272,0.618,true
INT_00000000154,CUST_00000017,POL_000000023,CH_MOBILE,,2021-01-13T11:20:00+00:00,2021,CALL,BILLING,INBOUND,639,-0.492,false
INT_00000000155,CUST_00000017,POL_000000023,CH_CALL_CENTER,AGT_00096,2025-03-02T12:09:00+00:00,2025,CALL,GENERAL_SERVICE,INBOUND,1724,0.594,true
INT_00000000156,CUST_00000017,POL_000000023,CH_BRANCH,AGT_00095,2023-05-01T11:45:00+00:00,2023,BRANCH_MEETING,CLAIM,INBOUND,1130,-0.032,true
INT_00000000157,CUST_00000017,POL_000000023,CH_SMS,,2024-03-23T19:08:00+00:00,2024,CALL,CLAIM,INBOUND,912,-0.225,false
INT_00000000158,CUST_00000017,POL_000000023,CH_BRANCH,AGT_00094,2022-02-02T18:04:00+00:00,2022,CHAT,QUOTE,INBOUND,243,0.691,true
INT_00000000159,CUST_00000017,POL_000000023,CH_CALL_CENTER,AGT_00094,2025-09-19T19:03:00+00:00,2025,MOBILE_SESSION,COMPLAINT,INBOUND,1259,-0.853,true
INT_00000000160,CUST_00000017,POL_000000023,CH_BRANCH,AGT_00094,2025-09-28T12:48:00+00:00,2025,EMAIL,BILLING,INBOUND,1666,0.345,true
INT_00000000161,CUST_00000018,POL_000000024,CH_BRANCH,AGT_00117,2025-07-26T15:45:00+00:00,2025,CALL,RETENTION,OUTBOUND,274,0.034,true
INT_00000000162,CUST_00000018,POL_000000024,CH_WEB,,2026-06-14T15:20:00+00:00,2026,MOBILE_SESSION,GENERAL_SERVICE,INBOUND,1442,1,true
INT_00000000163,CUST_00000018,POL_000000024,CH_EMAIL,,2026-02-06T14:14:00+00:00,2026,BRANCH_MEETING,QUOTE,INBOUND,1560,1,true
