policy_id,source_policy_id,customer_id,product_id,sales_channel_id,agent_id,agency_id,policy_start_date,policy_end_date,next_renewal_date,policy_status,payment_frequency,annual_premium,premium_discount_pct,premium_increase_pct_last_renewal,cancellation_date,cancellation_reason
POL_000000012,SRC_POL_000000012,CUST_00000009,PROD_HOME_STANDARD,CH_BROKER,AGT_00127,AGY_019,2023-02-18,2025-02-18,,EXPIRED,MONTHLY,563.82,0.0075,0.0139,,
POL_000000013,SRC_POL_000000013,CUST_00000010,PROD_HOME_STANDARD,CH_WEB,AGT_00042,AGY_006,2025-10-17,2028-10-17,2026-10-17,ACTIVE,MONTHLY,544.08,0.0293,0.0173,,
POL_000000014,SRC_POL_000000014,CUST_00000011,PROD_HEALTH_STANDARD,CH_BRANCH,AGT_00036,AGY_006,2022-09-03,2023-09-03,,EXPIRED,MONTHLY,999.31,0.0391,0.0746,,
POL_000000015,SRC_POL_000000015,CUST_00000012,PROD_HOME_BASIC,CH_BROKER,AGT_00091,AGY_013,2025-01-09,2030-01-09,2026-01-09,ACTIVE,MONTHLY,371.31,0.0059,0.0872,,
POL_000000016,SRC_POL_000000016,CUST_00000012,PROD_ACCIDENT_STANDARD,CH_CALL_CENTER,AGT_00085,AGY_013,2025-10-20,2031-10-20,2026-10-20,ACTIVE,ANNUAL,215.47,0.0093,0.0113,,
POL_000000017,SRC_POL_000000017,CUST_00000012,PROD_AUTO_STANDARD,CH_WEB,AGT_00085,AGY_013,2021-10-05,2025-10-05,,EXPIRED,MONTHLY,866.38,0.0398,0.0598,,
POL_000000018,SRC_POL_000000018,CUST_00000013,PROD_LIFE_PREMIUM,CH_BRANCH,AGT_00043,AGY_007,2024-02-20,2025-02-20,,EXPIRED,ANNUAL,824.37,0.042,-0.0383,,
POL_000000019,SRC_POL_000000019,CUST_00000013,PROD_HEALTH_PREMIUM,CH_MOBILE,AGT_00043,AGY_007,2023-11-25,2028-11-25,2026-11-25,ACTIVE,MONTHLY,1572.79,0.0248,0.0973,,
POL_000000020,SRC_POL_000000020,CUST_00000014,PROD_ACCIDENT_STANDARD,CH_BRANCH,AGT_00029,AGY_005,2025-06-08,2027-06-08,2026-06-08,ACTIVE,ANNUAL,264.09,0.027,-0.0202,,
POL_000000021,SRC_POL_000000021,CUST_00000015,PROD_TRAVEL_STANDARD,CH_BRANCH,AGT_00147,AGY_021,2024-08-09,2025-08-09,,CANCELLED,ANNUAL,161.47,0.043,0.0524,2025-03-13,MOVED
POL_000000022,SRC_POL_000000022,CUST_00000016,PROD_AUTO_BASIC,CH_BRANCH,AGT_00007,AGY_001,2023-03-02,2024-03-02,,EXPIRED,MONTHLY,575.74,0.006,0.1207,,
POL_000000023,SRC_POL_000000023,CUST_00000017,PROD_HEALTH_PREMIUM,CH_BROKER,AGT_00098,AGY_014,2024-03-29,2030-03-29,2026-03-29,ACTIVE,MONTHLY,1723.06,0.0329,0.1144,,
POL_000000024,SRC_POL_000000024,CUST_00000018,PROD_AUTO_BASIC,CH_WEB,AGT_00119,AGY_017,2024-06-15,2028-06-15,,CANCELLED,MONTHLY,560.44,0.0275,0.0379,2025-11-24,PRICE
POL_000000025,SRC_POL_000000025,CUST_00000019,PROD_HOME_PREMIUM,CH_CALL_CENTER,AGT_00148,AGY_022,2025-05-08,2030-05-08,2026-05-08,ACTIVE,MONTHLY,849.89,0.0117,0.0197,,
POL_000000026,SRC_POL_000000026,CUST_00000019,PROD_AUTO_PREMIUM,CH_WEB,AGT_00149,AGY_022,2025-07-09,2027-07-09,2026-07-09,ACTIVE,MONTHLY,1041.41,0.0432,0.0102,,
POL_000000027,SRC_POL_000000027,CUST_00000020,PROD_LIFE_BASIC,CH_CALL_CENTER,AGT_00001,AGY_001,2021-04-10,2026-04-10,,EXPIRED,ANNUAL,259.61,0.018,0.0534,,
POL_000000028,SRC_POL_000000028,CUST_00000020,PROD_HOME_PREMIUM,CH_BROKER,AGT_00007,AGY_001,2021-04-10,2027-04-10,2026-04-10,ACTIVE,MONTHLY,885.75,0.0222,0.0521,,
POL_000000029,SRC_POL_000000029,CUST_00000021,PROD_TRAVEL_STANDARD,CH_MOBILE,AGT_00043,AGY_007,2024-10-14,2028-10-14,2026-10-14,ACTIVE,ANNUAL,152.65,0.043,0.0277,,
POL_000000030,SRC_POL_000000030,CUST_00000022,PROD_HEALTH_PREMIUM,CH_BRANCH,AGT_00098,AGY_014,2023-06-19,2029-06-19,2026-06-19,ACTIVE,MONTHLY,1546.43,0.0714,0.0268,,
POL_000000031,SRC_POL_000000031,CUST_00000023,PROD_AUTO_STANDARD,CH_MOBILE,AGT_00085,AGY_013,2025-10-08,2027-10-08,,CANCELLED,MONTHLY,707.59,0.0891,-0.04,2026-06-24,PRICE
POL_000000032,SRC_POL_000000032,CUST_00000023,PROD_HOME_STANDARD,CH_BRANCH,AGT_00085,AGY_013,2024-03-18,2028-03-18,2026-03-18,ACTIVE,MONTHLY,453.36,0.0013,-0.0264,,
POL_000000033,SRC_POL_000000033,CUST_00000024,PROD_PET_STANDARD,CH_WEB,AGT_00043,AGY_007,2020-11-04,2022-11-04,,EXPIRED,MONTHLY,377.95,0.0382,0.0817,,
POL_000000034,SRC_POL_000000034,CUST_00000024,PROD_AUTO_STANDARD,CH_BRANCH,AGT_00049,AGY_007,2024-03-07,2028-03-07,2026-03-07,ACTIVE,MONTHLY,769.49,0.0213,0.0582,,
POL_000000035,SRC_POL_000000035,CUST_00000025,PROD_HEALTH_BASIC,CH_WEB,AGT_00009,AGY_002,2022-03-20,2028-03-20,2026-03-20,ACTIVE,MONTHLY,711.38,0.0043,0.0446,,
POL_000000036,SRC_POL_000000036,CUST_00000025,PROD_HOME_STANDARD,CH_CALL_CENTER,AGT_00008,AGY_002,2022-02-05,2025-02-05,,CANCELLED,MONTHLY,530.23,0.0296,0.0081,2024-05-06,COMPETITOR
POL_000000037,SRC_POL_000000037,CUST_00000026,PROD_LIFE_BASIC,CH_WEB,AGT_00057,AGY_009,2022-05-27,2026-05-27,,CANCELLED,ANNUAL,229.68,0.0138,0.0112,2026-02-14,COVERAGE
POL_000000038,SRC_POL_000000038,CUST_00000026,PROD_AUTO_STANDARD,CH_CALL_CENTER,AGT_00057,AGY_009,2022-11-16,2026-11-16,2026-11-16,ACTIVE,MONTHLY,803.4,0.064,0.0292,,
POL_000000039,SRC_POL_000000039,CUST_00000027,PROD_LIFE_STANDARD,CH_WEB,AGT_00154,AGY_022,2024-02-29,2029-02-28,2026-02-28,ACTIVE,ANNUAL,486.81,0.033,0.0445,,
POL_000000040,SRC_POL_000000040,CUST_00000028,PROD_AUTO_PREMIUM,CH_BRANCH,AGT_00001,AGY_001,2024-11-15,2028-11-15,2026-11-15,ACTIVE,MONTHLY,1274.54,0.0741,0.0373,,
POL_000000041,SRC_POL_000000041,CUST_00000028,PROD_LIFE_PREMIUM,CH_BROKER,,AGY_001,2021-03-30,2027-03-30,2026-03-30,ACTIVE,ANNUAL,890.66,0.0364,0.0724,,
POL_000000042,SRC_POL_000000042,CUST_00000029,PROD_LIFE_BASIC,CH_WEB,AGT_00121,AGY_018,2022-03-28,2027-03-28,2026-03-28,ACTIVE,ANNUAL,219.5,0.0109,0.0208,,
POL_000000043,SRC_POL_000000043,CUST_00000030,PROD_ACCIDENT_STANDARD,CH_CALL_CENTER,AGT_00058,AGY_009,2025-06-13,2031-06-13,2026-06-13,ACTIVE,ANNUAL,233.57,0.0032,0.0418,,
POL_000000044,SRC_POL_000000044,CUST_00000031,PROD_HEALTH_BASIC,CH_BROKER,AGT_00105,AGY_015,2023-08-02,2024-08-02,,EXPIRED,MONTHLY,716.43,0.0745,0.0451,,
POL_000000045,SRC_POL_000000045,CUST_00000031,PROD_HOME_BASIC,CH_CALL_CENTER,AGT_00099,AGY_015,2023-08-02,2029-08-02,2026-08-02,ACTIVE,MONTHLY,284.95,0.0496,0.0062,,
POL_000000046,SRC_POL_000000046,CUST_00000032,PROD_HEALTH_STANDARD,CH_MOBILE,AGT_00023,AGY_004,2025-10-26,2027-10-26,2026-10-26,ACTIVE,MONTHLY,943.78,0.0501,-0.0111,,
POL_000000047,SRC_POL_000000047,CUST_00000032,PROD_LIFE_BASIC,CH_CALL_CENTER,AGT_00022,AGY_004,2025-12-27,2028-12-27,2026-12-27,ACTIVE,ANNUAL,242.51,0.0177,0.1059,,
POL_000000048,SRC_POL_000000048,CUST_00000033,PROD_HOME_BASIC,CH_CALL_CENTER,AGT_00049,AGY_007,2025-10-10,2027-10-10,2026-10-10,ACTIVE,MONTHLY,335.72,0.0439,0.0539,,
POL_000000049,SRC_POL_000000049,CUST_00000033,PROD_HOME_PREMIUM,CH_WEB,AGT_00043,AGY_007,2025-10-10,2030-10-10,2026-10-10,ACTIVE,MONTHLY,785.27,0.0264,0.071,,
POL_000000050,SRC_POL_000000050,CUST_00000033,PROD_HEALTH_STANDARD,CH_CALL_CENTER,AGT_00044,AGY_007,2025-10-10,2031-10-10,2026-10-10,ACTIVE,MONTHLY,939.54,0.0026,0.0078,,
POL_000000051,SRC_POL_000000051,CUST_00000033,PROD_HEALTH_BASIC,CH_WEB,,AGY_007,2025-10-20,2027-10-20,2026-10-20,ACTIVE,MONTHLY,750.19,0.0508,0.0968,,
POL_000000052,SRC_POL_000000052,CUST_00000034,PROD_ACCIDENT_STANDARD,CH_BRANCH,,AGY_001,2023-03-28,2026-03-28,,CANCELLED,ANNUAL,237.51,0.0314,0.0991,2024-11-12,PRICE
POL_000000053,SRC_POL_000000053,CUST_00000035,PROD_LIFE_BASIC,CH_BRANCH,AGT_00044,AGY_007,2022-01-09,2028-01-09,2026-01-09,ACTIVE,ANNUAL,276.95,0.0605,0.0385,,
POL_000000054,SRC_POL_000000054,CUST_00000036,PROD_HEALTH_STANDARD,CH_BRANCH,AGT_00105,AGY_015,2025-08-05,2029-08-05,2026-08-05,ACTIVE,MONTHLY,1226.08,0.0173,0.1317,,
POL_000000055,SRC_POL_000000055,CUST_00000036,PROD_AUTO_BASIC,CH_MOBILE,AGT_00099,AGY_015,2022-10-06,2025-10-06,,EXPIRED,MONTHLY,541.6,0.1142,0.0693,,
POL_000000056,SRC_POL_000000056,CUST_00000036,PROD_HEALTH_BASIC,CH_BRANCH,AGT_00100,AGY_015,2023-08-20,2025-08-20,,EXPIRED,MONTHLY,644.56,0.0252,-0.0091,,
POL_000000057,SRC_POL_000000057,CUST_00000037,PROD_HOME_PREMIUM,CH_CALL_CENTER,,AGY_002,2021-07-17,2023-07-17,,EXPIRED,MONTHLY,929.9,0.0185,0.0761,,
POL_000000058,SRC_POL_000000058,CUST_00000038,PROD_HEALTH_STANDARD,CH_BROKER,AGT_00093,AGY_014,2024-06-29,2030-06-29,2026-06-29,ACTIVE,MONTHLY,912.37,0.007,0.0539,,
POL_000000059,SRC_POL_000000059,CUST_00000039,PROD_LIFE_PREMIUM,CH_CALL_CENTER,AGT_00119,AGY_017,2022-05-05,2026-05-05,,EXPIRED,ANNUAL,976.83,0.0574,0.0904,,
POL_000000060,SRC_POL_000000060,CUST_00000039,PROD_HEALTH_PREMIUM,CH_CALL_CENTER,AGT_00119,AGY_017,2025-11-27,2026-11-27,2026-11-27,ACTIVE,MONTHLY,1658.04,0.0415,0.0492,,
POL_000000061,SRC_POL_000000061,CUST_00000040,PROD_AUTO_BASIC,CH_BRANCH,AGT_00093,AGY_014,2024-03-18,2030-03-18,2026-03-18,ACTIVE,MONTHLY,503.52,0.0412,0.0427,,
POL_000000062,SRC_POL_000000062,CUST_00000040,PROD_HEALTH_BASIC,CH_MOBILE,AGT_00093,AGY_014,2024-08-21,2029-08-21,2026-08-21,ACTIVE,MONTHLY,681.98,0.0123,0.0533,,
POL_000000063,SRC_POL_000000063,CUST_00000040,PROD_PET_STANDARD,CH_BRANCH,AGT_00098,AGY_014,2024-10-15,2029-10-15,2026-10-15,ACTIVE,MONTHLY,354.65,0.0099,0.1063,,
POL_000000064,SRC_POL_000000064,CUST_00000040,PROD_AUTO_PREMIUM,CH_MOBILE,AGT_00098,AGY_014,2024-03-18,2028-03-18,2026-03-18,ACTIVE,MONTHLY,1011.38,0.0096,0.0015,,
POL_000000065,SRC_POL_000000065,CUST_00000041,PROD_HOME_PREMIUM,CH_MOBILE,AGT_00119,AGY_017,2025-11-05,2031-11-05,2026-11-05,ACTIVE,MONTHLY,735.99,0.0269,-0.0011,,
POL_000000066,SRC_POL_000000066,CUST_00000042,PROD_HEALTH_BASIC,CH_BROKER,AGT_00009,AGY_002,2020-10-25,2025-10-25,,EXPIRED,MONTHLY,791.13,0.0104,-0.0233,,
POL_000000067,SRC_POL_000000067,CUST_00000042,PROD_AUTO_BASIC,CH_CALL_CENTER,AGT_00009,AGY_002,2021-12-06,2025-12-06,,CANCELLED,MONTHLY,498.03,0.001,0.0614,2023-11-21,SERVICE
POL_000000068,SRC_POL_000000068,CUST_00000042,PROD_ACCIDENT_STANDARD,CH_WEB,AGT_00014,AGY_002,2025-07-17,2026-07-17,2026-07-17,ACTIVE,ANNUAL,247.43,0.0075,0.0712,,
POL_000000069,SRC_POL_000000069,CUST_00000043,PROD_LIFE_PREMIUM,CH_WEB,AGT_00023,AGY_004,2024-04-27,2028-04-27,2026-04-27,ACTIVE,ANNUAL,835.34,0.005,-0.0007,,
POL_000000070,SRC_POL_000000070,CUST_00000043,PROD_HEALTH_BASIC,CH_BRANCH,AGT_00028,AGY_004,2023-10-14,2024-10-14,,EXPIRED,MONTHLY,619.21,0.0807,0.0416,,
POL_000000071,SRC_POL_000000071,CUST_00000043,PROD_HOME_STANDARD,CH_MOBILE,AGT_00022,AGY_004,2023-10-14,2025-10-14,,EXPIRED,MONTHLY,487.29,0.0182,0.0875,,
POL_000000072,SRC_POL_000000072,CUST_00000044,PROD_LIFE_STANDARD,CH_BRANCH,AGT_00098,AGY_014,2024-11-21,2028-11-21,,CANCELLED,ANNUAL,416.29,0.0026,-0.025,2025-05-05,COVERAGE
POL_000000073,SRC_POL_000000073,CUST_00000044,PROD_LIFE_PREMIUM,CH_BRANCH,AGT_00092,AGY_014,2021-01-25,2022-01-25,,EXPIRED,ANNUAL,978.09,0.0199,0.0324,,
POL_000000074,SRC_POL_000000074,CUST_00000045,PROD_HEALTH_PREMIUM,CH_BROKER,AGT_00023,AGY_004,2021-07-27,2027-07-27,,CANCELLED,MONTHLY,1439.32,0.0389,0.0218,2024-04-07,COVERAGE
POL_000000075,SRC_POL_000000075,CUST_00000046,PROD_TRAVEL_STANDARD,CH_BRANCH,AGT_00037,AGY_006,2025-09-29,2027-09-29,2026-09-29,ACTIVE,ANNUAL,162.61,0.0027,0.0227,,
POL_000000076,SRC_POL_000000076,CUST_00000046,PROD_AUTO_BASIC,CH_CALL_CENTER,AGT_00037,AGY_006,2025-09-29,2027-09-29,2026-09-29,ACTIVE,MONTHLY,580.63,0.0017,0.0273,,
POL_000000077,SRC_POL_000000077,CUST_00000047,PROD_HEALTH_STANDARD,CH_CALL_CENTER,AGT_00058,AGY_009,2021-07-11,2024-07-11,,EXPIRED,MONTHLY,1103.99,0.0831,0.0654,,
POL_000000078,SRC_POL_000000078,CUST_00000048,PROD_AUTO_STANDARD,CH_BRANCH,AGT_00056,AGY_008,2025-12-28,2030-12-28,2026-12-28,ACTIVE,MONTHLY,755.91,0.0031,0.0208,,
POL_000000079,SRC_POL_000000079,CUST_00000048,PROD_AUTO_PREMIUM,CH_WEB,AGT_00056,AGY_008,2025-12-28,2027-12-28,2026-12-28,ACTIVE,MONTHLY,1199.99,0.068,0.0305,,
POL_000000080,SRC_POL_000000080,CUST_00000048,PROD_HEALTH_BASIC,CH_BROKER,AGT_00056,AGY_008,2025-12-28,2027-12-28,2026-12-28,ACTIVE,MONTHLY,721.13,0.04,0.0295,,
POL_000000081,SRC_POL_000000081,CUST_00000049,PROD_PET_STANDARD,CH_WEB,AGT_00149,AGY_022,2022-04-27,2024-04-27,,EXPIRED,MONTHLY,333.04,0.0248,0.0423,,
POL_000000082,SRC_POL_000000082,CUST_00000049,PROD_HOME_STANDARD,CH_MOBILE,AGT_00149,AGY_022,2022-04-27,2025-04-27,,EXPIRED,MONTHLY,505.21,0.0191,0.1217,,
POL_000000083,SRC_POL_000000083,CUST_00000049,PROD_HEALTH_PREMIUM,CH_BROKER,AGT_00148,AGY_022,2025-08-10,2030-08-10,2026-08-10,ACTIVE,MONTHLY,1560.2,0.0086,0.0494,,
POL_000000084,SRC_POL_000000084,CUST_00000050,PROD_HOME_BASIC,CH_CALL_CENTER,AGT_00070,AGY_010,2025-12-06,2026-12-06,2026-12-06,ACTIVE,MONTHLY,295.7,0.0106,-0.0393,,
POL_000000085,SRC_POL_000000085,CUST_00000050,PROD_HOME_STANDARD,CH_MOBILE,AGT_00070,AGY_010,2024-05-26,2027-05-26,2026-05-26,ACTIVE,MONTHLY,580.43,0.0041,0.0517,,
POL_000000086,SRC_POL_000000086,CUST_00000051,PROD_TRAVEL_STANDARD,CH_WEB,AGT_00057,AGY_009,2024-10-06,2029-10-06,2026-10-06,ACTIVE,ANNUAL,159.13,0.0161,0.0754,,
POL_000000087,SRC_POL_000000087,CUST_00000052,PROD_HOME_STANDARD,CH_BRANCH,AGT_00086,AGY_013,2024-11-20,2028-11-20,2026-11-20,ACTIVE,MONTHLY,410.91,0.0229,0.0255,,
POL_000000088,SRC_POL_000000088,CUST_00000052,PROD_HOME_BASIC,CH_BRANCH,AGT_00085,AGY_013,2024-08-09,2029-08-09,2026-08-09,ACTIVE,MONTHLY,328.14,0.0033,0.0678,,
POL_000000089,SRC_POL_000000089,CUST_00000053,PROD_AUTO_BASIC,CH_BRANCH,AGT_00051,AGY_008,2023-06-24,2024-06-24,,EXPIRED,MONTHLY,611.16,0.0057,0.0703,,
POL_000000090,SRC_POL_000000090,CUST_00000053,PROD_HEALTH_STANDARD,CH_BROKER,AGT_00056,AGY_008,2024-05-16,2027-05-16,2026-05-16,ACTIVE,MONTHLY,993.35,0.0406,0.0071,,
POL_000000091,SRC_POL_000000091,CUST_00000054,PROD_HEALTH_STANDARD,CH_BROKER,AGT_00133,AGY_019,2021-08-04,2023-08-04,,EXPIRED,MONTHLY,1126.69,0.0269,0.0178,,
POL_000000092,SRC_POL_000000092,CUST_00000055,PROD_LIFE_STANDARD,CH_WEB,AGT_00023,AGY_004,2024-01-13,2028-01-13,,CANCELLED,ANNUAL,407.26,0.0414,-0.04,2024-08-08,PRICE
POL_000000093,SRC_POL_000000093,CUST_00000056,PROD_ACCIDENT_STANDARD,CH_CALL_CENTER,AGT_00098,AGY_014,2024-05-27,2028-05-27,2026-05-27,ACTIVE,ANNUAL,207.04,0.0152,-0.04,,
POL_000000094,SRC_POL_000000094,CUST_00000057,PROD_AUTO_STANDARD,CH_BROKER,AGT_00007,AGY_001,2022-06-21,2028-06-21,2026-06-21,ACTIVE,MONTHLY,710.08,0.005,0.0179,,
POL_000000095,SRC_POL_000000095,CUST_00000058,PROD_LIFE_PREMIUM,CH_MOBILE,AGT_00100,AGY_015,2024-03-21,2027-03-21,2026-03-21,ACTIVE,ANNUAL,937.82,0.0215,0.0373,,
POL_000000096,SRC_POL_000000096,CUST_00000059,PROD_HEALTH_STANDARD,CH_BRANCH,AGT_00016,AGY_003,2025-07-14,2029-07-14,,CANCELLED,MONTHLY,976.99,0.0011,0.0361,2025-12-09,MOVED
POL_000000097,SRC_POL_000000097,CUST_00000059,PROD_HOME_PREMIUM,CH_CALL_CENTER,AGT_00016,AGY_003,2023-10-17,2027-10-17,2026-10-17,ACTIVE,MONTHLY,813.93,0.0172,-0.007,,
POL_000000098,SRC_POL_000000098,CUST_00000060,PROD_AUTO_STANDARD,CH_WEB,AGT_00009,AGY_002,2022-09-18,2028-09-18,2026-09-18,ACTIVE,MONTHLY,1062.39,0.0359,0.1424,,
POL_000000099,SRC_POL_000000099,CUST_00000060,PROD_HOME_BASIC,CH_BROKER,AGT_00009,AGY_002,2021-11-14,2024-11-14,,EXPIRED,MONTHLY,348.99,0.0259,0.0652,,
POL_000000100,SRC_POL_000000100,CUST_00000060,PROD_LIFE_BASIC,CH_BROKER,AGT_00009,AGY_002,2025-05-12,2031-05-12,2026-05-12,ACTIVE,ANNUAL,278.1,0.033,-0.0399,,
POL_000000101,SRC_POL_000000101,CUST_00000060,PROD_HEALTH_PREMIUM,CH_MOBILE,AGT_00014,AGY_002,2022-11-19,2023-11-19,,EXPIRED,MONTHLY,1476.02,0.0433,0.0594,,
POL_000000102,SRC_POL_000000102,CUST_00000061,PROD_LIFE_STANDARD,CH_WEB,AGT_00142,AGY_021,2023-07-30,2028-07-30,2026-07-30,ACTIVE,ANNUAL,425.26,0.0751,0.0147,,
POL_000000103,SRC_POL_000000103,CUST_00000062,PROD_PET_STANDARD,CH_BRANCH,AGT_00086,AGY_013,2023-08-18,2024-08-18,,EXPIRED,MONTHLY,353.92,0.0292,-0.0036,,
POL_000000104,SRC_POL_000000104,CUST_00000063,PROD_TRAVEL_STANDARD,CH_WEB,AGT_00113,AGY_017,2022-06-23,2024-06-23,,CANCELLED,ANNUAL,151.79,0.0298,-0.0205,2024-04-21,COMPETITOR
POL_000000105,SRC_POL_000000105,CUST_00000064,PROD_TRAVEL_STANDARD,CH_BRANCH,AGT_00135,AGY_020,2025-05-31,2030-05-31,2026-05-31,ACTIVE,ANNUAL,144.26,0.0289,-0.0097,,
POL_000000106,SRC_POL_000000106,CUST_00000065,PROD_HEALTH_PREMIUM,CH_WEB,AGT_00050,AGY_008,2025-10-31,2027-10-31,2026-10-31,ACTIVE,MONTHLY,1824.77,0.0565,0.0514,,
POL_000000107,SRC_POL_000000107,CUST_00000066,PROD_AUTO_STANDARD,CH_BROKER,AGT_00014,AGY_002,2024-04-06,2026-04-06,,EXPIRED,MONTHLY,690.89,0.0031,0.0338,,
POL_000000108,SRC_POL_000000108,CUST_00000067,PROD_TRAVEL_STANDARD,CH_BROKER,AGT_00133,AGY_019,2024-09-03,2030-09-03,2026-09-03,ACTIVE,ANNUAL,167.57,0.0089,0.035,,
POL_000000109,SRC_POL_000000109,CUST_00000068,PROD_LIFE_STANDARD,CH_MOBILE,AGT_00029,AGY_005,2024-08-04,2026-08-04,,CANCELLED,ANNUAL,438.89,0.0534,0.0293,2024-12-20,MOVED
POL_000000110,SRC_POL_000000110,CUST_00000069,PROD_AUTO_PREMIUM,CH_CALL_CENTER,AGT_00126,AGY_018,2021-05-01,2027-05-01,2026-05-01,ACTIVE,MONTHLY,1018.84,0.0131,0.0344,,
POL_000000111,SRC_POL_000000111,CUST_00000070,PROD_LIFE_BASIC,CH_MOBILE,AGT_00065,AGY_010,2025-04-18,2031-04-18,2026-04-18,ACTIVE,ANNUAL,225.17,0.0063,-0.04,,
POL_000000112,SRC_POL_000000112,CUST_00000070,PROD_LIFE_PREMIUM,CH_WEB,AGT_00070,AGY_010,2025-04-18,2027-04-18,2026-04-18,ACTIVE,ANNUAL,856.27,0.0383,-0.0109,,
POL_000000113,SRC_POL_000000113,CUST_00000071,PROD_LIFE_BASIC,CH_BRANCH,AGT_00127,AGY_019,2024-05-24,2028-05-24,2026-05-24,ACTIVE,ANNUAL,231.09,0.014,0.0458,,
POL_000000114,SRC_POL_000000114,CUST_00000072,PROD_AUTO_STANDARD,CH_BRANCH,AGT_00099,AGY_015,2025-11-01,2026-11-01,2026-11-01,ACTIVE,MONTHLY,773.43,0.0195,-0.0165,,
POL_000000115,SRC_POL_000000115,CUST_00000072,PROD_HEALTH_BASIC,CH_BRANCH,,AGY_015,2025-11-01,2030-11-01,2026-11-01,ACTIVE,MONTHLY,752.45,0.0423,0.0362,,
POL_000000116,SRC_POL_000000116,CUST_00000073,PROD_HOME_BASIC,CH_CALL_CENTER,AGT_00133,AGY_019,2024-10-10,2030-10-10,2026-10-10,ACTIVE,MONTHLY,339.38,0.0397,0.0166,,
POL_000000117,SRC_POL_000000117,CUST_00000074,PROD_HOME_PREMIUM,CH_WEB,AGT_00063,AGY_009,2025-02-01,2028-02-01,2026-02-01,ACTIVE,MONTHLY,687.66,0.0171,0.0116,,
POL_000000118,SRC_POL_000000118,CUST_00000075,PROD_LIFE_BASIC,CH_CALL_CENTER,AGT_00043,AGY_007,2025-12-01,2028-12-01,2026-12-01,ACTIVE,ANNUAL,225.7,0.0794,-0.0045,,
POL_000000119,SRC_POL_000000119,CUST_00000075,PROD_HOME_BASIC,CH_BRANCH,AGT_00043,AGY_007,2024-06-25,2028-06-25,2026-06-25,ACTIVE,MONTHLY,294.8,0.024,-0.04,,
POL_000000120,SRC_POL_000000120,CUST_00000075,PROD_LIFE_PREMIUM,CH_BRANCH,AGT_00049,AGY_007,2020-10-18,2022-10-18,,EXPIRED,ANNUAL,895.74,0.0397,0.0487,,
POL_000000121,SRC_POL_000000121,CUST_00000076,PROD_ACCIDENT_STANDARD,CH_BROKER,AGT_00023,AGY_004,2022-09-27,2025-09-27,,EXPIRED,ANNUAL,253.55,0.071,0.0158,,
