case_id,customer_id,policy_id,interaction_id,opened_datetime,closed_datetime,case_type,priority,case_status,sla_breached_flag,resolution_code,satisfaction_score
CAS_0000000012,CUST_00000006,POL_000000007,INT_00000000043,2023-04-12T18:00:00+00:00,2023-04-19T00:00:00+00:00,BILLING,LOW,RESOLVED,false,ESCALATED_BACKOFFICE,2.54
CAS_0000000013,CUST_00000009,POL_000000012,INT_00000000074,2025-10-14T13:00:00+00:00,2025-10-23T00:00:00+00:00,COMPLAINT,LOW,RESOLVED,false,ANSWERED,3.77
CAS_0000000014,CUST_00000010,POL_000000013,INT_00000000085,2026-05-07T12:00:00+00:00,2026-05-18T00:00:00+00:00,CLAIM_SUPPORT,LOW,CLOSED,false,ANSWERED,3.01
CAS_0000000015,CUST_00000011,POL_000000014,INT_00000000086,2026-02-07T12:00:00+00:00,2026-02-15T00:00:00+00:00,CLAIM_SUPPORT,MEDIUM,RESOLVED,false,COMPENSATED,3.46
CAS_0000000016,CUST_00000012,POL_000000015,INT_00000000096,2024-11-23T14:00:00+00:00,2024-12-07T00:00:00+00:00,BILLING,LOW,RESOLVED,true,DOCUMENT_REQUESTED,2.32
CAS_0000000017,CUST_00000013,POL_000000019,INT_00000000101,2021-12-05T09:00:00+00:00,2021-12-17T00:00:00+00:00,CLAIM_SUPPORT,LOW,RESOLVED,false,ESCALATED_BACKOFFICE,4.6
CAS_0000000018,CUST_00000013,POL_000000019,INT_00000000109,2020-06-19T10:00:00+00:00,2020-06-22T00:00:00+00:00,CLAIM_SUPPORT,MEDIUM,CLOSED,false,ANSWERED,4.06
CAS_0000000019,CUST_00000015,POL_000000021,INT_00000000124,2024-12-08T16:00:00+00:00,2024-12-14T00:00:00+00:00,BILLING,MEDIUM,CLOSED,false,ANSWERED,3.73
CAS_0000000020,CUST_00000015,POL_000000021,INT_00000000131,2026-05-26T15:00:00+00:00,2026-06-05T00:00:00+00:00,BILLING,LOW,CLOSED,false,ANSWERED,2.99
CAS_0000000021,CUST_00000016,POL_000000022,INT_00000000134,2025-10-25T16:00:00+00:00,2025-10-28T00:00:00+00:00,BILLING,LOW,RESOLVED,false,ANSWERED,2.22
CAS_0000000022,CUST_00000016,POL_000000022,INT_00000000143,2021-07-23T08:00:00+00:00,2021-08-01T00:00:00+00:00,CLAIM_SUPPORT,MEDIUM,RESOLVED,true,COMPENSATED,3.1
CAS_0000000023,CUST_00000017,POL_000000023,INT_00000000153,2022-07-18T13:00:00+00:00,2022-07-22T00:00:00+00:00,COMPLAINT,LOW,ESCALATED,true,ANSWERED,3.51
CAS_0000000024,CUST_00000017,POL_000000023,INT_00000000156,2023-05-01T11:00:00+00:00,,CLAIM_SUPPORT,CRITICAL,CLOSED,false,COMPENSATED,5
CAS_0000000025,CUST_00000017,POL_000000023,INT_00000000157,2024-03-23T11:00:00+00:00,2024-03-28T00:00:00+00:00,CLAIM_SUPPORT,CRITICAL,CLOSED,false,DOCUMENT_REQUESTED,3.44
CAS_0000000026,CUST_00000017,POL_000000023,INT_00000000159,2025-09-19T09:00:00+00:00,2025-10-04T00:00:00+00:00,COMPLAINT,MEDIUM,RESOLVED,false,ANSWERED,3.86
CAS_0000000027,CUST_00000019,POL_000000026,INT_00000000179,2025-11-27T11:00:00+00:00,2025-12-13T00:00:00+00:00,CLAIM_SUPPORT,HIGH,RESOLVED,false,ANSWERED,3.7
CAS_0000000028,CUST_00000020,POL_000000028,INT_00000000183,2025-08-13T15:00:00+00:00,2025-09-06T00:00:00+00:00,BILLING,MEDIUM,CLOSED,false,DOCUMENT_REQUESTED,4.59
CAS_0000000029,CUST_00000020,POL_000000027,INT_00000000185,2022-01-08T14:00:00+00:00,2022-01-24T00:00:00+00:00,CLAIM_SUPPORT,HIGH,CLOSED,false,DOCUMENT_REQUESTED,1.82
CAS_0000000030,CUST_00000020,POL_000000028,INT_00000000188,2023-05-02T15:00:00+00:00,,BILLING,MEDIUM,CLOSED,true,DOCUMENT_REQUESTED,3.65
CAS_0000000031,CUST_00000020,POL_000000027,INT_00000000189,2024-05-22T14:00:00+00:00,2024-06-11T00:00:00+00:00,BILLING,LOW,ESCALATED,false,COMPENSATED,3.66
CAS_0000000032,CUST_00000021,POL_000000029,INT_00000000198,2026-01-18T14:00:00+00:00,2026-02-02T00:00:00+00:00,CLAIM_SUPPORT,LOW,RESOLVED,false,ANSWERED,2.05
CAS_0000000033,CUST_00000021,POL_000000029,INT_00000000201,2025-09-23T15:00:00+00:00,2025-09-24T00:00:00+00:00,BILLING,MEDIUM,ESCALATED,false,DOCUMENT_REQUESTED,4.06
CAS_0000000034,CUST_00000021,POL_000000029,INT_00000000202,2026-03-08T12:00:00+00:00,2026-04-02T00:00:00+00:00,CLAIM_SUPPORT,HIGH,CLOSED,true,ANSWERED,3.51
CAS_0000000035,CUST_00000022,POL_000000030,INT_00000000207,2023-10-06T17:00:00+00:00,2023-10-29T00:00:00+00:00,BILLING,LOW,CLOSED,true,COMPENSATED,3.28
CAS_0000000036,CUST_00000022,POL_000000030,INT_00000000210,2024-04-11T08:00:00+00:00,2024-05-05T00:00:00+00:00,BILLING,MEDIUM,ESCALATED,false,ANSWERED,4.09
CAS_0000000037,CUST_00000023,POL_000000031,INT_00000000220,2025-06-09T14:00:00+00:00,2025-07-02T00:00:00+00:00,BILLING,HIGH,RESOLVED,false,ANSWERED,4.09
CAS_0000000038,CUST_00000023,POL_000000031,INT_00000000225,2026-03-11T08:00:00+00:00,2026-03-31T00:00:00+00:00,CLAIM_SUPPORT,MEDIUM,RESOLVED,true,ANSWERED,
CAS_0000000039,CUST_00000024,POL_000000033,INT_00000000229,2026-01-16T17:00:00+00:00,2026-02-06T00:00:00+00:00,BILLING,MEDIUM,RESOLVED,false,ANSWERED,3.13
CAS_0000000040,CUST_00000025,POL_000000036,INT_00000000238,2023-09-29T11:00:00+00:00,2023-10-07T00:00:00+00:00,COMPLAINT,MEDIUM,CLOSED,false,ANSWERED,2.17
CAS_0000000041,CUST_00000025,POL_000000035,INT_00000000240,2023-02-13T12:00:00+00:00,2023-03-03T00:00:00+00:00,BILLING,LOW,RESOLVED,false,ESCALATED_BACKOFFICE,3.39
CAS_0000000042,CUST_00000026,POL_000000038,INT_00000000257,2025-10-19T09:00:00+00:00,2025-11-09T00:00:00+00:00,BILLING,MEDIUM,RESOLVED,false,DOCUMENT_REQUESTED,1.82
CAS_0000000043,CUST_00000027,POL_000000039,INT_00000000261,2026-04-05T09:00:00+00:00,2026-04-09T00:00:00+00:00,COMPLAINT,MEDIUM,RESOLVED,true,DOCUMENT_REQUESTED,3.44
CAS_0000000044,CUST_00000028,POL_000000040,INT_00000000274,2023-04-16T08:00:00+00:00,2023-04-29T00:00:00+00:00,CLAIM_SUPPORT,MEDIUM,RESOLVED,false,COMPENSATED,3.07
CAS_0000000045,CUST_00000028,POL_000000041,INT_00000000276,2025-10-14T16:00:00+00:00,2025-10-21T00:00:00+00:00,BILLING,LOW,CLOSED,false,ESCALATED_BACKOFFICE,3.15
CAS_0000000046,CUST_00000028,POL_000000040,INT_00000000278,2022-01-13T12:00:00+00:00,2022-01-30T00:00:00+00:00,BILLING,MEDIUM,ESCALATED,true,ANSWERED,4.15
CAS_0000000047,CUST_00000028,POL_000000041,INT_00000000281,2025-05-03T10:00:00+00:00,2025-05-18T00:00:00+00:00,BILLING,LOW,RESOLVED,false,DOCUMENT_REQUESTED,4.06
CAS_0000000048,CUST_00000029,POL_000000042,INT_00000000287,2024-09-02T15:00:00+00:00,2024-09-19T00:00:00+00:00,CLAIM_SUPPORT,CRITICAL,CLOSED,true,ESCALATED_BACKOFFICE,2.19
CAS_0000000049,CUST_00000030,POL_000000043,INT_00000000291,2025-02-25T13:00:00+00:00,2025-03-03T00:00:00+00:00,BILLING,MEDIUM,RESOLVED,false,DOCUMENT_REQUESTED,3.03
CAS_0000000050,CUST_00000030,POL_000000043,INT_00000000292,2026-05-29T15:00:00+00:00,2026-06-20T00:00:00+00:00,CLAIM_SUPPORT,CRITICAL,RESOLVED,false,ANSWERED,3.8
CAS_0000000051,CUST_00000030,POL_000000043,INT_00000000293,2025-08-02T12:00:00+00:00,2025-08-08T00:00:00+00:00,CLAIM_SUPPORT,LOW,RESOLVED,false,ANSWERED,2.61
CAS_0000000052,CUST_00000030,POL_000000043,INT_00000000295,2026-04-09T09:00:00+00:00,2026-05-01T00:00:00+00:00,BILLING,HIGH,ESCALATED,false,ANSWERED,4.01
CAS_0000000053,CUST_00000030,POL_000000043,INT_00000000298,2025-02-05T15:00:00+00:00,2025-02-11T00:00:00+00:00,BILLING,LOW,ESCALATED,false,DOCUMENT_REQUESTED,4.29
CAS_0000000054,CUST_00000031,POL_000000044,INT_00000000302,2024-10-22T12:00:00+00:00,2024-11-04T00:00:00+00:00,BILLING,LOW,RESOLVED,true,ANSWERED,2.22
CAS_0000000055,CUST_00000031,POL_000000045,INT_00000000303,2025-07-03T13:00:00+00:00,2025-07-21T00:00:00+00:00,COMPLAINT,MEDIUM,RESOLVED,false,ANSWERED,
CAS_0000000056,CUST_00000032,POL_000000046,INT_00000000316,2026-04-21T13:00:00+00:00,2026-05-10T00:00:00+00:00,CLAIM_SUPPORT,LOW,RESOLVED,true,DOCUMENT_REQUESTED,1.69
CAS_0000000057,CUST_00000032,POL_000000046,INT_00000000317,2026-06-10T13:00:00+00:00,2026-07-03T00:00:00+00:00,CLAIM_SUPPORT,MEDIUM,CLOSED,false,ANSWERED,4.11
CAS_0000000058,CUST_00000032,POL_000000047,INT_00000000319,2026-03-09T10:00:00+00:00,2026-03-25T00:00:00+00:00,COMPLAINT,LOW,RESOLVED,false,ANSWERED,4.78
CAS_0000000059,CUST_00000033,POL_000000048,INT_00000000326,2025-11-28T17:00:00+00:00,2025-11-29T00:00:00+00:00,COMPLAINT,MEDIUM,ESCALATED,true,ANSWERED,1.63
CAS_0000000060,CUST_00000033,POL_000000051,INT_00000000328,2026-02-08T16:00:00+00:00,2026-03-04T00:00:00+00:00,CLAIM_SUPPORT,LOW,CLOSED,true,ANSWERED,2.6
CAS_0000000061,CUST_00000033,POL_000000049,INT_00000000331,2026-06-18T08:00:00+00:00,2026-06-23T00:00:00+00:00,BILLING,LOW,RESOLVED,false,ESCALATED_BACKOFFICE,1.65
CAS_0000000062,CUST_00000034,POL_000000052,INT_00000000338,2026-03-29T10:00:00+00:00,2026-04-01T00:00:00+00:00,COMPLAINT,MEDIUM,RESOLVED,false,ANSWERED,5
CAS_0000000063,CUST_00000035,POL_000000053,INT_00000000345,2024-01-01T10:00:00+00:00,2024-01-06T00:00:00+00:00,BILLING,HIGH,RESOLVED,false,DOCUMENT_REQUESTED,3.78
CAS_0000000064,CUST_00000035,POL_000000053,INT_00000000356,2024-03-13T08:00:00+00:00,2024-03-19T00:00:00+00:00,COMPLAINT,LOW,CLOSED,false,ANSWERED,
CAS_0000000065,CUST_00000036,POL_000000056,INT_00000000358,2022-11-10T18:00:00+00:00,2022-11-28T00:00:00+00:00,CLAIM_SUPPORT,LOW,RESOLVED,false,ESCALATED_BACKOFFICE,1.91
CAS_0000000066,CUST_00000036,POL_000000056,INT_00000000360,2022-12-04T11:00:00+00:00,2022-12-22T00:00:00+00:00,BILLING,MEDIUM,RESOLVED,true,ANSWERED,1.62
CAS_0000000067,CUST_00000037,POL_000000057,INT_00000000368,2022-07-11T15:00:00+00:00,2022-07-18T00:00:00+00:00,COMPLAINT,MEDIUM,CLOSED,true,COMPENSATED,3.08
CAS_0000000068,CUST_00000038,POL_000000058,INT_00000000372,2024-10-05T16:00:00+00:00,2024-10-24T00:00:00+00:00,BILLING,MEDIUM,ESCALATED,false,ANSWERED,3.82
CAS_0000000069,CUST_00000038,POL_000000058,INT_00000000373,2025-03-07T10:00:00+00:00,2025-03-09T00:00:00+00:00,BILLING,MEDIUM,CLOSED,false,ESCALATED_BACKOFFICE,4.02
CAS_0000000070,CUST_00000039,POL_000000059,INT_00000000381,2024-06-20T13:00:00+00:00,2024-06-28T00:00:00+00:00,COMPLAINT,LOW,CLOSED,false,ANSWERED,2.63
CAS_0000000071,CUST_00000040,POL_000000063,INT_00000000389,2026-05-15T18:00:00+00:00,2026-06-02T00:00:00+00:00,CLAIM_SUPPORT,MEDIUM,RESOLVED,false,ESCALATED_BACKOFFICE,2.97
CAS_0000000072,CUST_00000040,POL_000000061,INT_00000000390,2024-03-19T14:00:00+00:00,2024-04-08T00:00:00+00:00,COMPLAINT,HIGH,CLOSED,false,ESCALATED_BACKOFFICE,3.93
CAS_0000000073,CUST_00000041,POL_000000065,INT_00000000399,2025-12-21T10:00:00+00:00,2025-12-26T00:00:00+00:00,CLAIM_SUPPORT,LOW,RESOLVED,false,ANSWERED,4.15
CAS_0000000074,CUST_00000041,POL_000000065,INT_00000000405,2026-01-28T13:00:00+00:00,2026-02-19T00:00:00+00:00,BILLING,HIGH,RESOLVED,false,ANSWERED,2.81
CAS_0000000075,CUST_00000042,POL_000000066,INT_00000000409,2022-05-24T12:00:00+00:00,2022-05-28T00:00:00+00:00,BILLING,MEDIUM,CLOSED,false,DOCUMENT_REQUESTED,4.26
CAS_0000000076,CUST_00000042,POL_000000067,INT_00000000410,2024-03-11T10:00:00+00:00,2024-03-21T00:00:00+00:00,COMPLAINT,LOW,RESOLVED,true,ESCALATED_BACKOFFICE,1.87
CAS_0000000077,CUST_00000042,POL_000000068,INT_00000000412,2026-04-12T11:00:00+00:00,2026-04-24T00:00:00+00:00,COMPLAINT,MEDIUM,CLOSED,false,ESCALATED_BACKOFFICE,3.27
CAS_0000000078,CUST_00000042,POL_000000068,INT_00000000418,2025-04-15T14:00:00+00:00,2025-04-23T00:00:00+00:00,BILLING,MEDIUM,RESOLVED,true,ANSWERED,2.3
CAS_0000000079,CUST_00000043,POL_000000070,INT_00000000421,2024-04-06T10:00:00+00:00,2024-05-01T00:00:00+00:00,BILLING,MEDIUM,CLOSED,false,ANSWERED,3.44
CAS_0000000080,CUST_00000043,POL_000000071,INT_00000000426,2026-02-05T18:00:00+00:00,2026-02-12T00:00:00+00:00,BILLING,LOW,RESOLVED,false,COMPENSATED,3.92
CAS_0000000081,CUST_00000043,POL_000000071,INT_00000000427,2025-04-01T17:00:00+00:00,2025-04-09T00:00:00+00:00,CLAIM_SUPPORT,LOW,CLOSED,false,ESCALATED_BACKOFFICE,2.39
CAS_0000000082,CUST_00000043,POL_000000070,INT_00000000432,2026-02-01T10:00:00+00:00,2026-02-06T00:00:00+00:00,CLAIM_SUPPORT,HIGH,CLOSED,true,ANSWERED,1.24
CAS_0000000083,CUST_00000044,POL_000000073,INT_00000000438,2023-07-04T08:00:00+00:00,2023-07-28T00:00:00+00:00,CLAIM_SUPPORT,LOW,CLOSED,false,ANSWERED,3.7
CAS_0000000084,CUST_00000046,POL_000000076,INT_00000000452,2025-10-16T14:00:00+00:00,2025-10-27T00:00:00+00:00,CLAIM_SUPPORT,CRITICAL,RESOLVED,true,COMPENSATED,2.57
CAS_0000000085,CUST_00000046,POL_000000075,INT_00000000455,2026-03-02T12:00:00+00:00,2026-03-15T00:00:00+00:00,CLAIM_SUPPORT,MEDIUM,RESOLVED,false,DOCUMENT_REQUESTED,5
CAS_0000000086,CUST_00000047,POL_000000077,INT_00000000462,2024-05-02T11:00:00+00:00,2024-05-23T00:00:00+00:00,BILLING,MEDIUM,RESOLVED,true,DOCUMENT_REQUESTED,1.63
CAS_0000000087,CUST_00000047,POL_000000077,INT_00000000472,2026-05-16T12:00:00+00:00,2026-05-20T00:00:00+00:00,CLAIM_SUPPORT,HIGH,CLOSED,false,COMPENSATED,4.49
CAS_0000000088,CUST_00000048,POL_000000080,INT_00000000479,2026-02-25T08:00:00+00:00,2026-03-03T00:00:00+00:00,COMPLAINT,HIGH,RESOLVED,false,ANSWERED,2.94
CAS_0000000089,CUST_00000049,POL_000000083,INT_00000000484,2024-09-16T10:00:00+00:00,2024-09-25T00:00:00+00:00,CLAIM_SUPPORT,LOW,RESOLVED,true,DOCUMENT_REQUESTED,4.03
CAS_0000000090,CUST_00000051,POL_000000086,INT_00000000498,2024-02-13T13:00:00+00:00,2024-03-05T00:00:00+00:00,COMPLAINT,MEDIUM,ESCALATED,false,ANSWERED,2.63
CAS_0000000091,CUST_00000051,POL_000000086,INT_00000000501,2024-01-24T17:00:00+00:00,2024-02-02T00:00:00+00:00,BILLING,HIGH,ESCALATED,true,COMPENSATED,2.27
CAS_0000000092,CUST_00000051,POL_000000086,INT_00000000508,2022-10-15T18:00:00+00:00,2022-11-09T00:00:00+00:00,COMPLAINT,HIGH,CLOSED,false,ANSWERED,2.46
CAS_0000000093,CUST_00000052,POL_000000087,INT_00000000510,2022-10-21T14:00:00+00:00,2022-11-15T00:00:00+00:00,COMPLAINT,HIGH,RESOLVED,false,ANSWERED,1.77
CAS_0000000094,CUST_00000052,POL_000000087,INT_00000000512,2024-09-15T14:00:00+00:00,2024-10-09T00:00:00+00:00,COMPLAINT,MEDIUM,RESOLVED,true,ANSWERED,2.54
CAS_0000000095,CUST_00000052,POL_000000087,INT_00000000514,2022-05-25T14:00:00+00:00,2022-05-26T00:00:00+00:00,CLAIM_SUPPORT,MEDIUM,CLOSED,false,ANSWERED,2.48
CAS_0000000096,CUST_00000053,POL_000000089,INT_00000000522,2023-03-29T14:00:00+00:00,2023-04-23T00:00:00+00:00,COMPLAINT,MEDIUM,RESOLVED,true,DOCUMENT_REQUESTED,2.91
CAS_0000000097,CUST_00000053,POL_000000090,INT_00000000523,2023-07-06T15:00:00+00:00,2023-07-11T00:00:00+00:00,CLAIM_SUPPORT,HIGH,ESCALATED,true,ANSWERED,3.7
CAS_0000000098,CUST_00000054,POL_000000091,INT_00000000530,2024-06-20T11:00:00+00:00,2024-07-12T00:00:00+00:00,CLAIM_SUPPORT,LOW,RESOLVED,false,DOCUMENT_REQUESTED,4.84
CAS_0000000099,CUST_00000054,POL_000000091,INT_00000000532,2025-05-16T10:00:00+00:00,2025-05-30T00:00:00+00:00,COMPLAINT,LOW,CLOSED,false,ANSWERED,3.1
CAS_0000000100,CUST_00000054,POL_000000091,INT_00000000533,2025-10-09T10:00:00+00:00,2025-10-20T00:00:00+00:00,BILLING,MEDIUM,RESOLVED,false,DOCUMENT_REQUESTED,3.72
CAS_0000000101,CUST_00000054,POL_000000091,INT_00000000534,2026-01-03T15:00:00+00:00,2026-01-24T00:00:00+00:00,CLAIM_SUPPORT,LOW,RESOLVED,false,ESCALATED_BACKOFFICE,4.1
CAS_0000000102,CUST_00000054,POL_000000091,INT_00000000535,2024-05-07T17:00:00+00:00,2024-05-19T00:00:00+00:00,BILLING,MEDIUM,CLOSED,false,COMPENSATED,3.19
CAS_0000000103,CUST_00000054,POL_000000091,INT_00000000536,2023-03-08T18:00:00+00:00,2023-03-15T00:00:00+00:00,BILLING,HIGH,RESOLVED,true,ANSWERED,2.33
CAS_0000000104,CUST_00000054,POL_000000091,INT_00000000538,2024-07-30T08:00:00+00:00,2024-08-09T00:00:00+00:00,BILLING,MEDIUM,RESOLVED,true,ANSWERED,2.64
CAS_0000000105,CUST_00000055,POL_000000092,INT_00000000550,2024-01-02T10:00:00+00:00,2024-01-10T00:00:00+00:00,BILLING,MEDIUM,ESCALATED,false,DOCUMENT_REQUESTED,3.92
CAS_0000000106,CUST_00000056,POL_000000093,INT_00000000553,2024-06-25T12:00:00+00:00,2024-07-20T00:00:00+00:00,BILLING,LOW,RESOLVED,false,ANSWERED,3.45
CAS_0000000107,CUST_00000056,POL_000000093,INT_00000000559,2022-12-16T11:00:00+00:00,2023-01-03T00:00:00+00:00,BILLING,MEDIUM,RESOLVED,true,ANSWERED,3.93
CAS_0000000108,CUST_00000057,POL_000000094,INT_00000000564,2025-03-08T10:00:00+00:00,2025-03-28T00:00:00+00:00,COMPLAINT,CRITICAL,RESOLVED,false,ESCALATED_BACKOFFICE,3.62
CAS_0000000109,CUST_00000057,POL_000000094,INT_00000000571,2025-09-06T15:00:00+00:00,2025-09-14T00:00:00+00:00,COMPLAINT,LOW,RESOLVED,false,DOCUMENT_REQUESTED,3.99
CAS_0000000110,CUST_00000058,POL_000000095,INT_00000000573,2025-05-14T08:00:00+00:00,2025-05-15T00:00:00+00:00,BILLING,LOW,RESOLVED,true,DOCUMENT_REQUESTED,2.7
CAS_0000000111,CUST_00000059,POL_000000097,INT_00000000580,2022-08-03T14:00:00+00:00,2022-08-09T00:00:00+00:00,COMPLAINT,MEDIUM,CLOSED,true,DOCUMENT_REQUESTED,2.92
CAS_0000000112,CUST_00000060,POL_000000101,INT_00000000591,2024-08-30T16:00:00+00:00,2024-09-02T00:00:00+00:00,BILLING,CRITICAL,CLOSED,false,ANSWERED,1.81
CAS_0000000113,CUST_00000060,POL_000000100,INT_00000000595,2021-03-24T11:00:00+00:00,2021-04-16T00:00:00+00:00,BILLING,CRITICAL,RESOLVED,true,DOCUMENT_REQUESTED,1.78
CAS_0000000114,CUST_00000061,POL_000000102,INT_00000000597,2023-10-29T11:00:00+00:00,2023-11-17T00:00:00+00:00,COMPLAINT,HIGH,RESOLVED,false,DOCUMENT_REQUESTED,3.88
CAS_0000000115,CUST_00000063,POL_000000104,INT_00000000613,2026-01-23T18:00:00+00:00,2026-02-16T00:00:00+00:00,CLAIM_SUPPORT,LOW,RESOLVED,true,COMPENSATED,3.05
CAS_0000000116,CUST_00000063,POL_000000104,INT_00000000615,2026-01-27T15:00:00+00:00,2026-02-13T00:00:00+00:00,BILLING,MEDIUM,CLOSED,false,DOCUMENT_REQUESTED,2.94
CAS_0000000117,CUST_00000064,POL_000000105,INT_00000000623,2026-04-19T18:00:00+00:00,2026-05-12T00:00:00+00:00,BILLING,MEDIUM,CLOSED,false,ESCALATED_BACKOFFICE,4.07
CAS_0000000118,CUST_00000064,POL_000000105,INT_00000000631,2025-08-23T11:00:00+00:00,2025-09-17T00:00:00+00:00,CLAIM_SUPPORT,HIGH,CLOSED,true,ANSWERED,2.26
CAS_0000000119,CUST_00000064,POL_000000105,INT_00000000634,2025-09-24T16:00:00+00:00,2025-09-26T00:00:00+00:00,BILLING,MEDIUM,RESOLVED,true,ANSWERED,3.09
CAS_0000000120,CUST_00000064,POL_000000105,INT_00000000637,2025-06-03T13:00:00+00:00,2025-06-06T00:00:00+00:00,COMPLAINT,MEDIUM,CLOSED,false,ESCALATED_BACKOFFICE,
CAS_0000000121,CUST_00000065,POL_000000106,INT_00000000648,2023-11-04T09:00:00+00:00,2023-11-15T00:00:00+00:00,COMPLAINT,MEDIUM,RESOLVED,false,ANSWERED,3.16
CAS_0000000122,CUST_00000066,POL_000000107,INT_00000000657,2024-04-21T09:00:00+00:00,2024-05-12T00:00:00+00:00,BILLING,LOW,RESOLVED,false,ANSWERED,3.11
CAS_0000000123,CUST_00000068,POL_000000109,INT_00000000680,2025-06-25T08:00:00+00:00,2025-07-20T00:00:00+00:00,CLAIM_SUPPORT,HIGH,CLOSED,false,ANSWERED,2.77
CAS_0000000124,CUST_00000068,POL_000000109,INT_00000000681,2025-07-10T11:00:00+00:00,2025-08-02T00:00:00+00:00,CLAIM_SUPPORT,MEDIUM,RESOLVED,false,ANSWERED,3.28
CAS_0000000125,CUST_00000069,POL_000000110,INT_00000000688,2024-04-20T09:00:00+00:00,2024-05-08T00:00:00+00:00,COMPLAINT,HIGH,RESOLVED,false,ESCALATED_BACKOFFICE,2.7
CAS_0000000126,CUST_00000069,POL_000000110,INT_00000000690,2024-03-15T13:00:00+00:00,2024-04-04T00:00:00+00:00,BILLING,MEDIUM,RESOLVED,false,ANSWERED,
CAS_0000000127,CUST_00000073,POL_000000116,INT_00000000728,2025-01-25T08:00:00+00:00,2025-02-05T00:00:00+00:00,CLAIM_SUPPORT,HIGH,CLOSED,false,DOCUMENT_REQUESTED,3.66
CAS_0000000128,CUST_00000074,POL_000000117,INT_00000000740,2024-06-12T13:00:00+00:00,2024-06-18T00:00:00+00:00,COMPLAINT,MEDIUM,ESCALATED,false,COMPENSATED,4.2
CAS_0000000129,CUST_00000074,POL_000000117,INT_00000000744,2024-09-28T10:00:00+00:00,2024-10-22T00:00:00+00:00,CLAIM_SUPPORT,LOW,RESOLVED,false,ESCALATED_BACKOFFICE,4.34
CAS_0000000130,CUST_00000076,POL_000000122,INT_00000000767,2021-10-16T17:00:00+00:00,2021-11-10T00:00:00+00:00,BILLING,MEDIUM,CLOSED,true,ESCALATED_BACKOFFICE,4.36
CAS_0000000131,CUST_00000077,POL_000000124,INT_00000000781,2024-10-02T09:00:00+00:00,2024-10-13T00:00:00+00:00,CLAIM_SUPPORT,MEDIUM,RESOLVED,false,ANSWERED,3.06
CAS_0000000132,CUST_00000077,POL_000000123,INT_00000000782,2025-12-27T13:00:00+00:00,2025-12-31T00:00:00+00:00,BILLING,MEDIUM,RESOLVED,false,DOCUMENT_REQUESTED,4.24
CAS_0000000133,CUST_00000078,POL_000000125,INT_00000000784,2026-01-13T12:00:00+00:00,2026-02-02T00:00:00+00:00,BILLING,HIGH,RESOLVED,false,ANSWERED,4.51
CAS_0000000134,CUST_00000078,POL_000000125,INT_00000000788,2022-05-14T16:00:00+00:00,2022-05-31T00:00:00+00:00,COMPLAINT,MEDIUM,RESOLVED,true,ANSWERED,4.37
CAS_0000000135,CUST_00000078,POL_000000125,INT_00000000791,2020-08-13T17:00:00+00:00,2020-09-01T00:00:00+00:00,BILLING,HIGH,ESCALATED,false,COMPENSATED,2.98
