retention_action_id,customer_id,policy_id,action_date,action_timestamp,action_type,trigger_reason,offered_value,channel_id,agent_id,accepted_flag,retained_90d_flag
RET_0000000028,CUST_00000204,POL_000000326,2025-09-26,2025-09-26T13:00:00+00:00,DISCOUNT,COMPLAINT,20.07,CH_RETENTION_OUTBOUND,AGT_00097,false,false
RET_0000000029,CUST_00000206,POL_000000330,2024-12-29,2024-12-29T13:00:00+00:00,DISCOUNT,LOW_ENGAGEMENT,31.25,CH_RETENTION_OUTBOUND,AGT_00153,false,false
RET_0000000030,CUST_00000208,POL_000000333,2024-10-09,2024-10-09T15:00:00+00:00,DISCOUNT,PAYMENT_INCIDENT,109.13,CH_RETENTION_OUTBOUND,AGT_00167,false,false
RET_0000000031,CUST_00000213,POL_000000342,2025-08-16,2025-08-16T13:00:00+00:00,DISCOUNT,RENEWAL_RISK,46.02,CH_RETENTION_OUTBOUND,AGT_00090,false,false
RET_0000000032,CUST_00000216,POL_000000349,2022-04-30,2022-04-30T10:00:00+00:00,CALLBACK,PAYMENT_INCIDENT,61.91,CH_RETENTION_OUTBOUND,AGT_00104,true,true
RET_0000000033,CUST_00000227,POL_000000366,2025-06-25,2025-06-25T15:00:00+00:00,LOYALTY_BONUS,PREMIUM_INCREASE,53.09,CH_RETENTION_OUTBOUND,AGT_00146,false,false
RET_0000000034,CUST_00000228,POL_000000367,2026-02-04,2026-02-04T16:00:00+00:00,PAYMENT_PLAN,PAYMENT_INCIDENT,22.02,CH_RETENTION_OUTBOUND,AGT_00006,false,false
RET_0000000035,CUST_00000231,POL_000000372,2025-01-19,2025-01-19T12:00:00+00:00,CALLBACK,PREMIUM_INCREASE,26.99,CH_RETENTION_OUTBOUND,AGT_00118,false,false
RET_0000000036,CUST_00000233,POL_000000375,2026-04-04,2026-04-04T14:00:00+00:00,LOYALTY_BONUS,PREMIUM_INCREASE,40.15,CH_RETENTION_OUTBOUND,AGT_00076,false,false
RET_0000000037,CUST_00000239,POL_000000384,2025-05-18,2025-05-18T10:00:00+00:00,DISCOUNT,PREMIUM_INCREASE,14.47,CH_RETENTION_OUTBOUND,AGT_00027,false,false
RET_0000000038,CUST_00000242,POL_000000388,2025-05-08,2025-05-08T10:00:00+00:00,CALLBACK,PAYMENT_INCIDENT,81.65,CH_RETENTION_OUTBOUND,AGT_00069,false,false
RET_0000000039,CUST_00000243,POL_000000389,2025-12-31,2025-12-31T14:00:00+00:00,CALLBACK,HIGH_VALUE_SAVE,95.67,CH_RETENTION_OUTBOUND,AGT_00041,false,false
RET_0000000040,CUST_00000256,POL_000000407,2025-12-02,2025-12-02T09:00:00+00:00,DISCOUNT,HIGH_VALUE_SAVE,12.93,CH_RETENTION_OUTBOUND,AGT_00006,false,false
RET_0000000041,CUST_00000257,POL_000000412,2023-11-09,2023-11-09T16:00:00+00:00,CALLBACK,PREMIUM_INCREASE,65.23,CH_RETENTION_OUTBOUND,AGT_00132,false,false
RET_0000000042,CUST_00000262,POL_000000421,2025-07-11,2025-07-11T09:00:00+00:00,LOYALTY_BONUS,RENEWAL_RISK,58.17,CH_RETENTION_OUTBOUND,AGT_00020,false,false
RET_0000000043,CUST_00000271,POL_000000441,2025-05-06,2025-05-06T13:00:00+00:00,DISCOUNT,RENEWAL_RISK,68.63,CH_RETENTION_OUTBOUND,AGT_00020,false,false
RET_0000000044,CUST_00000272,POL_000000444,2025-06-04,2025-06-04T18:00:00+00:00,DISCOUNT,PAYMENT_INCIDENT,25.38,CH_RETENTION_OUTBOUND,AGT_00006,false,false
RET_0000000045,CUST_00000274,POL_000000448,2025-08-13,2025-08-13T11:00:00+00:00,PAYMENT_PLAN,COMPLAINT,49.0,CH_RETENTION_OUTBOUND,AGT_00097,false,false
RET_0000000046,CUST_00000282,POL_000000460,2025-05-01,2025-05-01T14:00:00+00:00,CALLBACK,HIGH_VALUE_SAVE,41.73,CH_RETENTION_OUTBOUND,AGT_00132,false,false
RET_0000000047,CUST_00000288,POL_000000472,2022-04-02,2022-04-02T12:00:00+00:00,DISCOUNT,COMPLAINT,25.24,CH_RETENTION_OUTBOUND,AGT_00006,false,false
RET_0000000048,CUST_00000292,POL_000000482,2023-02-13,2023-02-13T12:00:00+00:00,DISCOUNT,RENEWAL_RISK,36.18,CH_RETENTION_OUTBOUND,AGT_00055,true,true
RET_0000000049,CUST_00000294,POL_000000484,2025-10-22,2025-10-22T15:00:00+00:00,CALLBACK,PAYMENT_INCIDENT,98.67,CH_RETENTION_OUTBOUND,AGT_00083,false,false
RET_0000000050,CUST_00000301,POL_000000495,2024-11-12,2024-11-12T18:00:00+00:00,CALLBACK,PREMIUM_INCREASE,173.99,CH_RETENTION_OUTBOUND,AGT_00006,false,false
RET_0000000051,CUST_00000304,POL_000000500,2024-02-20,2024-02-20T17:00:00+00:00,PAYMENT_PLAN,PREMIUM_INCREASE,35.2,CH_RETENTION_OUTBOUND,AGT_00146,false,false
RET_0000000052,CUST_00000313,POL_000000514,2023-12-19,2023-12-19T14:00:00+00:00,DISCOUNT,RENEWAL_RISK,97.9,CH_RETENTION_OUTBOUND,AGT_00090,true,true
RET_0000000053,CUST_00000328,POL_000000531,2025-07-12,2025-07-12T19:00:00+00:00,PAYMENT_PLAN,PAYMENT_INCIDENT,52.53,CH_RETENTION_OUTBOUND,AGT_00006,false,false
RET_0000000054,CUST_00000335,POL_000000540,2022-12-21,2022-12-21T18:00:00+00:00,CALLBACK,RENEWAL_RISK,17.63,CH_RETENTION_OUTBOUND,AGT_00153,false,false
RET_0000000055,CUST_00000338,POL_000000545,2026-04-26,2026-04-26T18:00:00+00:00,CALLBACK,LOW_ENGAGEMENT,61.56,CH_RETENTION_OUTBOUND,AGT_00132,false,false
RET_0000000056,CUST_00000343,POL_000000555,2025-02-23,2025-02-23T13:00:00+00:00,LOYALTY_BONUS,RENEWAL_RISK,190.48,CH_RETENTION_OUTBOUND,AGT_00069,false,false
RET_0000000057,CUST_00000353,POL_000000572,2026-04-02,2026-04-02T11:00:00+00:00,CALLBACK,RENEWAL_RISK,20.26,CH_RETENTION_OUTBOUND,AGT_00034,true,true
RET_0000000058,CUST_00000356,POL_000000578,2026-05-24,2026-05-24T17:00:00+00:00,CLAIM_REVIEW,PREMIUM_INCREASE,88.66,CH_RETENTION_OUTBOUND,AGT_00097,false,false
RET_0000000059,CUST_00000359,POL_000000581,2023-05-27,2023-05-27T18:00:00+00:00,DISCOUNT,COMPLAINT,19.8,CH_RETENTION_OUTBOUND,AGT_00034,false,false
RET_0000000060,CUST_00000360,POL_000000582,2026-01-08,2026-01-08T10:00:00+00:00,DISCOUNT,RENEWAL_RISK,127.25,CH_RETENTION_OUTBOUND,AGT_00125,true,true
RET_0000000061,CUST_00000369,POL_000000593,2026-06-12,2026-06-12T17:00:00+00:00,LOYALTY_BONUS,PREMIUM_INCREASE,129.52,CH_RETENTION_OUTBOUND,AGT_00083,true,true
RET_0000000062,CUST_00000378,POL_000000603,2023-10-05,2023-10-05T15:00:00+00:00,CALLBACK,PAYMENT_INCIDENT,6.1,CH_RETENTION_OUTBOUND,AGT_00090,true,false
RET_0000000063,CUST_00000390,POL_000000622,2025-01-31,2025-01-31T19:00:00+00:00,CALLBACK,HIGH_VALUE_SAVE,54.32,CH_RETENTION_OUTBOUND,AGT_00090,false,false
RET_0000000064,CUST_00000391,POL_000000623,2025-08-28,2025-08-28T19:00:00+00:00,LOYALTY_BONUS,PREMIUM_INCREASE,41.47,CH_RETENTION_OUTBOUND,AGT_00146,false,false
RET_0000000065,CUST_00000399,POL_000000636,2025-12-10,2025-12-10T08:00:00+00:00,LOYALTY_BONUS,LOW_ENGAGEMENT,52.22,CH_RETENTION_OUTBOUND,AGT_00020,false,false
RET_0000000066,CUST_00000408,POL_000000651,2026-06-01,2026-06-01T19:00:00+00:00,LOYALTY_BONUS,HIGH_VALUE_SAVE,30.83,CH_RETENTION_OUTBOUND,AGT_00132,false,false
RET_0000000067,CUST_00000436,POL_000000697,2025-06-25,2025-06-25T08:00:00+00:00,LOYALTY_BONUS,PREMIUM_INCREASE,31.68,CH_RETENTION_OUTBOUND,AGT_00062,false,false
RET_0000000068,CUST_00000445,POL_000000710,2025-02-11,2025-02-11T08:00:00+00:00,LOYALTY_BONUS,PREMIUM_INCREASE,18.85,CH_RETENTION_OUTBOUND,AGT_00069,true,true
RET_0000000069,CUST_00000448,POL_000000713,2025-02-21,2025-02-21T11:00:00+00:00,DISCOUNT,HIGH_VALUE_SAVE,88.19,CH_RETENTION_OUTBOUND,AGT_00027,false,false
RET_0000000070,CUST_00000458,POL_000000727,2025-07-05,2025-07-05T14:00:00+00:00,DISCOUNT,PREMIUM_INCREASE,72.47,CH_RETENTION_OUTBOUND,AGT_00125,false,false
RET_0000000071,CUST_00000461,POL_000000731,2023-05-07,2023-05-07T15:00:00+00:00,CLAIM_REVIEW,PAYMENT_INCIDENT,54.85,CH_RETENTION_OUTBOUND,AGT_00111,false,false
RET_0000000072,CUST_00000462,POL_000000732,2023-12-04,2023-12-04T12:00:00+00:00,CALLBACK,RENEWAL_RISK,13.27,CH_RETENTION_OUTBOUND,AGT_00020,true,true
RET_0000000073,CUST_00000470,POL_000000748,2024-11-29,2024-11-29T19:00:00+00:00,PAYMENT_PLAN,LOW_ENGAGEMENT,56.19,CH_RETENTION_OUTBOUND,AGT_00146,false,false
RET_0000000074,CUST_00000473,POL_000000751,2025-03-01,2025-03-01T10:00:00+00:00,PAYMENT_PLAN,PREMIUM_INCREASE,19.26,CH_RETENTION_OUTBOUND,AGT_00048,false,false
RET_0000000075,CUST_00000476,POL_000000757,2024-09-30,2024-09-30T18:00:00+00:00,PAYMENT_PLAN,PREMIUM_INCREASE,27.53,CH_RETENTION_OUTBOUND,AGT_00132,true,true
RET_0000000076,CUST_00000477,POL_000000759,2025-09-15,2025-09-15T13:00:00+00:00,DISCOUNT,PAYMENT_INCIDENT,27.4,CH_RETENTION_OUTBOUND,AGT_00020,false,false
RET_0000000077,CUST_00000482,POL_000000770,2025-11-08,2025-11-08T10:00:00+00:00,LOYALTY_BONUS,PREMIUM_INCREASE,4.8,CH_RETENTION_OUTBOUND,AGT_00062,false,false
RET_0000000078,CUST_00000485,POL_000000776,2025-11-26,2025-11-26T13:00:00+00:00,DISCOUNT,PREMIUM_INCREASE,86.59,CH_RETENTION_OUTBOUND,AGT_00013,false,false
RET_0000000079,CUST_00000488,POL_000000779,2022-10-04,2022-10-04T14:00:00+00:00,CALLBACK,LOW_ENGAGEMENT,43.58,CH_RETENTION_OUTBOUND,AGT_00125,false,false
RET_0000000080,CUST_00000489,POL_000000780,2026-05-30,2026-05-30T14:00:00+00:00,DISCOUNT,RENEWAL_RISK,18.6,CH_RETENTION_OUTBOUND,AGT_00034,false,false
RET_0000000081,CUST_00000495,POL_000000789,2026-05-07,2026-05-07T15:00:00+00:00,CLAIM_REVIEW,LOW_ENGAGEMENT,63.79,CH_RETENTION_OUTBOUND,AGT_00167,true,true
RET_0000000082,CUST_00000498,POL_000000792,2024-12-12,2024-12-12T12:00:00+00:00,CALLBACK,COMPLAINT,34.76,CH_RETENTION_OUTBOUND,AGT_00104,true,true
RET_0000000083,CUST_00000505,POL_000000800,2025-08-06,2025-08-06T10:00:00+00:00,CALLBACK,COMPLAINT,79.31,CH_RETENTION_OUTBOUND,AGT_00013,false,false
RET_0000000084,CUST_00000506,POL_000000801,2026-04-25,2026-04-25T18:00:00+00:00,PAYMENT_PLAN,PREMIUM_INCREASE,20.93,CH_RETENTION_OUTBOUND,AGT_00048,false,false
RET_0000000085,CUST_00000508,POL_000000803,2025-11-17,2025-11-17T19:00:00+00:00,CALLBACK,LOW_ENGAGEMENT,167.07,CH_RETENTION_OUTBOUND,AGT_00055,false,false
RET_0000000086,CUST_00000511,POL_000000806,2025-10-30,2025-10-30T17:00:00+00:00,PAYMENT_PLAN,PREMIUM_INCREASE,20.73,CH_RETENTION_OUTBOUND,AGT_00027,false,false
RET_0000000087,CUST_00000522,POL_000000822,2025-09-14,2025-09-14T09:00:00+00:00,DISCOUNT,PAYMENT_INCIDENT,26.63,CH_RETENTION_OUTBOUND,AGT_00097,false,false
RET_0000000088,CUST_00000526,POL_000000829,2025-08-25,2025-08-25T15:00:00+00:00,DISCOUNT,PREMIUM_INCREASE,10.49,CH_RETENTION_OUTBOUND,AGT_00104,false,false
RET_0000000089,CUST_00000539,POL_000000852,2026-01-23,2026-01-23T18:00:00+00:00,CLAIM_REVIEW,PREMIUM_INCREASE,174.3,CH_RETENTION_OUTBOUND,AGT_00160,false,false
RET_0000000090,CUST_00000541,POL_000000855,2026-03-15,2026-03-15T12:00:00+00:00,DISCOUNT,PAYMENT_INCIDENT,33.5,CH_RETENTION_OUTBOUND,AGT_00125,true,false
RET_0000000091,CUST_00000544,POL_000000858,2026-04-08,2026-04-08T09:00:00+00:00,PAYMENT_PLAN,LOW_ENGAGEMENT,87.51,CH_RETENTION_OUTBOUND,AGT_00062,false,false
RET_0000000092,CUST_00000545,POL_000000860,2022-05-21,2022-05-21T12:00:00+00:00,DISCOUNT,HIGH_VALUE_SAVE,26.44,CH_RETENTION_OUTBOUND,AGT_00055,false,false
RET_0000000093,CUST_00000549,POL_000000867,2025-03-13,2025-03-13T13:00:00+00:00,CALLBACK,PREMIUM_INCREASE,39.83,CH_RETENTION_OUTBOUND,AGT_00090,true,true
RET_0000000094,CUST_00000554,POL_000000875,2026-04-19,2026-04-19T12:00:00+00:00,LOYALTY_BONUS,LOW_ENGAGEMENT,16.72,CH_RETENTION_OUTBOUND,AGT_00153,false,false
RET_0000000095,CUST_00000555,POL_000000877,2026-01-15,2026-01-15T18:00:00+00:00,CALLBACK,PAYMENT_INCIDENT,276.53,CH_RETENTION_OUTBOUND,AGT_00027,true,true
RET_0000000096,CUST_00000556,POL_000000879,2025-03-12,2025-03-12T11:00:00+00:00,PAYMENT_PLAN,PAYMENT_INCIDENT,42.72,CH_RETENTION_OUTBOUND,AGT_00111,true,true
RET_0000000097,CUST_00000558,POL_000000881,2026-03-19,2026-03-19T18:00:00+00:00,CALLBACK,PAYMENT_INCIDENT,27.67,CH_RETENTION_OUTBOUND,AGT_00083,true,true
RET_0000000098,CUST_00000561,POL_000000886,2026-02-24,2026-02-24T14:00:00+00:00,DISCOUNT,RENEWAL_RISK,49.77,CH_RETENTION_OUTBOUND,AGT_00076,false,false
RET_0000000099,CUST_00000565,POL_000000895,2025-09-28,2025-09-28T18:00:00+00:00,DISCOUNT,RENEWAL_RISK,21.61,CH_RETENTION_OUTBOUND,AGT_00146,false,false
RET_0000000100,CUST_00000567,POL_000000899,2024-10-29,2024-10-29T18:00:00+00:00,LOYALTY_BONUS,COMPLAINT,83.48,CH_RETENTION_OUTBOUND,AGT_00041,false,false
RET_0000000101,CUST_00000589,POL_000000929,2024-07-20,2024-07-20T09:00:00+00:00,LOYALTY_BONUS,LOW_ENGAGEMENT,34.34,CH_RETENTION_OUTBOUND,AGT_00125,false,false
RET_0000000102,CUST_00000591,POL_000000932,2023-03-30,2023-03-30T13:00:00+00:00,PAYMENT_PLAN,LOW_ENGAGEMENT,117.25,CH_RETENTION_OUTBOUND,AGT_00146,false,false
RET_0000000103,CUST_00000594,POL_000000937,2025-09-30,2025-09-30T15:00:00+00:00,PAYMENT_PLAN,HIGH_VALUE_SAVE,12.21,CH_RETENTION_OUTBOUND,AGT_00048,true,true
RET_0000000104,CUST_00000595,POL_000000938,2025-09-28,2025-09-28T15:00:00+00:00,CALLBACK,LOW_ENGAGEMENT,56.07,CH_RETENTION_OUTBOUND,AGT_00153,false,false
RET_0000000105,CUST_00000596,POL_000000939,2024-10-30,2024-10-30T15:00:00+00:00,PAYMENT_PLAN,RENEWAL_RISK,19.09,CH_RETENTION_OUTBOUND,AGT_00132,false,false
RET_0000000106,CUST_00000597,POL_000000940,2026-05-08,2026-05-08T14:00:00+00:00,CLAIM_REVIEW,HIGH_VALUE_SAVE,91.92,CH_RETENTION_OUTBOUND,AGT_00167,false,false
RET_0000000107,CUST_00000599,POL_000000944,2026-06-30,2026-06-30T08:00:00+00:00,CALLBACK,PREMIUM_INCREASE,86.06,CH_RETENTION_OUTBOUND,AGT_00069,false,false
RET_0000000108,CUST_00000600,POL_000000945,2024-04-25,2024-04-25T15:00:00+00:00,LOYALTY_BONUS,LOW_ENGAGEMENT,31.58,CH_RETENTION_OUTBOUND,AGT_00146,false,false
RET_0000000109,CUST_00000611,POL_000000957,2025-01-06,2025-01-06T14:00:00+00:00,CALLBACK,PREMIUM_INCREASE,5.14,CH_RETENTION_OUTBOUND,AGT_00153,false,false
RET_0000000110,CUST_00000613,POL_000000963,2025-11-14,2025-11-14T11:00:00+00:00,DISCOUNT,RENEWAL_RISK,66.99,CH_RETENTION_OUTBOUND,AGT_00132,false,false
RET_0000000111,CUST_00000623,POL_000000979,2025-04-07,2025-04-07T12:00:00+00:00,LOYALTY_BONUS,HIGH_VALUE_SAVE,44.78,CH_RETENTION_OUTBOUND,AGT_00132,true,true
RET_0000000112,CUST_00000628,POL_000000986,2025-10-17,2025-10-17T14:00:00+00:00,DISCOUNT,COMPLAINT,17.41,CH_RETENTION_OUTBOUND,AGT_00062,false,false
RET_0000000113,CUST_00000635,POL_000001001,2024-01-11,2024-01-11T11:00:00+00:00,CALLBACK,PAYMENT_INCIDENT,42.97,CH_RETENTION_OUTBOUND,AGT_00041,false,false
RET_0000000114,CUST_00000643,POL_000001020,2026-02-04,2026-02-04T15:00:00+00:00,LOYALTY_BONUS,COMPLAINT,123.19,CH_RETENTION_OUTBOUND,AGT_00006,false,false
RET_0000000115,CUST_00000644,POL_000001021,2026-06-10,2026-06-10T17:00:00+00:00,DISCOUNT,RENEWAL_RISK,38.83,CH_RETENTION_OUTBOUND,AGT_00020,false,false
RET_0000000116,CUST_00000657,POL_000001042,2025-06-01,2025-06-01T15:00:00+00:00,DISCOUNT,PREMIUM_INCREASE,23.63,CH_RETENTION_OUTBOUND,AGT_00041,false,false
RET_0000000117,CUST_00000670,POL_000001061,2024-03-10,2024-03-10T12:00:00+00:00,DISCOUNT,PREMIUM_INCREASE,27.84,CH_RETENTION_OUTBOUND,AGT_00139,false,false
RET_0000000118,CUST_00000674,POL_000001066,2026-02-23,2026-02-23T16:00:00+00:00,DISCOUNT,PAYMENT_INCIDENT,129.16,CH_RETENTION_OUTBOUND,AGT_00132,true,true
RET_0000000119,CUST_00000676,POL_000001070,2022-01-26,2022-01-26T12:00:00+00:00,PAYMENT_PLAN,PREMIUM_INCREASE,53.0,CH_RETENTION_OUTBOUND,AGT_00041,false,false
RET_0000000120,CUST_00000694,POL_000001096,2024-08-11,2024-08-11T08:00:00+00:00,DISCOUNT,COMPLAINT,46.87,CH_RETENTION_OUTBOUND,AGT_00118,false,false
RET_0000000121,CUST_00000695,POL_000001098,2024-11-10,2024-11-10T09:00:00+00:00,CALLBACK,PREMIUM_INCREASE,32.9,CH_RETENTION_OUTBOUND,AGT_00083,false,false
RET_0000000122,CUST_00000696,POL_000001099,2025-09-28,2025-09-28T10:00:00+00:00,CLAIM_REVIEW,RENEWAL_RISK,62.52,CH_RETENTION_OUTBOUND,AGT_00097,false,false
RET_0000000123,CUST_00000697,POL_000001100,2025-05-03,2025-05-03T13:00:00+00:00,LOYALTY_BONUS,COMPLAINT,18.1,CH_RETENTION_OUTBOUND,AGT_00153,false,false
RET_0000000124,CUST_00000702,POL_000001106,2025-10-15,2025-10-15T11:00:00+00:00,CALLBACK,HIGH_VALUE_SAVE,9.53,CH_RETENTION_OUTBOUND,AGT_00069,false,false
RET_0000000125,CUST_00000707,POL_000001113,2025-10-07,2025-10-07T14:00:00+00:00,LOYALTY_BONUS,PREMIUM_INCREASE,67.44,CH_RETENTION_OUTBOUND,AGT_00153,true,true
RET_0000000126,CUST_00000709,POL_000001118,2022-03-14,2022-03-14T17:00:00+00:00,LOYALTY_BONUS,PREMIUM_INCREASE,27.72,CH_RETENTION_OUTBOUND,AGT_00041,false,false
RET_0000000127,CUST_00000714,POL_000001126,2025-01-03,2025-01-03T18:00:00+00:00,DISCOUNT,PREMIUM_INCREASE,126.06,CH_RETENTION_OUTBOUND,AGT_00055,false,false
RET_0000000128,CUST_00000718,POL_000001133,2026-03-04,2026-03-04T12:00:00+00:00,CLAIM_REVIEW,LOW_ENGAGEMENT,64.85,CH_RETENTION_OUTBOUND,AGT_00111,false,false
RET_0000000129,CUST_00000723,POL_000001141,2025-04-01,2025-04-01T14:00:00+00:00,DISCOUNT,PREMIUM_INCREASE,66.92,CH_RETENTION_OUTBOUND,AGT_00041,true,true
RET_0000000130,CUST_00000724,POL_000001142,2023-06-04,2023-06-04T11:00:00+00:00,DISCOUNT,RENEWAL_RISK,8.42,CH_RETENTION_OUTBOUND,AGT_00097,true,true
RET_0000000131,CUST_00000727,POL_000001147,2026-06-04,2026-06-04T10:00:00+00:00,LOYALTY_BONUS,LOW_ENGAGEMENT,47.68,CH_RETENTION_OUTBOUND,AGT_00132,false,false
RET_0000000132,CUST_00000730,POL_000001150,2025-01-30,2025-01-30T15:00:00+00:00,DISCOUNT,PAYMENT_INCIDENT,27.36,CH_RETENTION_OUTBOUND,AGT_00167,false,false
RET_0000000133,CUST_00000732,POL_000001153,2022-02-20,2022-02-20T14:00:00+00:00,CALLBACK,LOW_ENGAGEMENT,51.38,CH_RETENTION_OUTBOUND,AGT_00020,false,false
RET_0000000134,CUST_00000743,POL_000001170,2026-03-18,2026-03-18T17:00:00+00:00,CLAIM_REVIEW,PREMIUM_INCREASE,117.22,CH_RETENTION_OUTBOUND,AGT_00104,false,false
RET_0000000135,CUST_00000748,POL_000001177,2025-06-07,2025-06-07T18:00:00+00:00,DISCOUNT,PREMIUM_INCREASE,39.66,CH_RETENTION_OUTBOUND,AGT_00027,true,true
RET_0000000136,CUST_00000761,POL_000001200,2024-06-21,2024-06-21T19:00:00+00:00,LOYALTY_BONUS,PAYMENT_INCIDENT,13.04,CH_RETENTION_OUTBOUND,AGT_00097,false,false
RET_0000000137,CUST_00000765,POL_000001206,2024-10-21,2024-10-21T09:00:00+00:00,DISCOUNT,LOW_ENGAGEMENT,56.04,CH_RETENTION_OUTBOUND,AGT_00111,false,false
